"boot","degree","mean_error_interval","mean_abs_int_size","melcon","interval_entropy_0.25"
1,0,1.58390890236366,7.52587345316005,-0.0798766843674528,6.4425124795595
1,1,1.64059908804293,7.42957776612587,-0.104307322696001,6.41184013908044
1,2,1.72236194660791,7.49061236868243,-0.127303657454567,6.4688790025387
1,3,1.72000858241794,7.55681765776502,-0.105206418829016,6.28800938693712
1,4,1.63578984484392,7.67220389822102,-0.0922444844908475,6.31963818312427
1,5,1.6148319630785,7.7268846676511,-0.117481617205784,6.37269020980264
1,6,1.75001039483056,7.86118515159736,-0.121151285657216,6.30314658912051
1,7,1.49655948089564,8.06610470987366,-0.110750063049279,6.33803456279724
1,8,1.42197536097956,8.24737968512457,-0.110939026318848,6.32414538759038
1,9,1.16323661887397,8.38447287563706,-0.116467292703907,6.31659816070768
1,10,1.35767026011458,8.14501268695663,-0.127009146187216,6.31681144027214
2,0,1.54733407922845,7.70951199414441,-0.0919746309289676,6.53316045270258
2,1,1.67302040864909,7.67136308132785,-0.13034612124296,6.43491892641111
2,2,1.69137820107615,7.79634960752934,-0.132681185455025,6.42997708879723
2,3,1.65277287133784,7.83254894700076,-0.122028189158809,6.38683672747219
2,4,1.56421706451698,7.95850148311605,-0.117865454451595,6.45043638507027
2,5,1.69610122384895,8.09335705627292,-0.122419735486008,6.33795794894062
2,6,1.68012075261512,8.1567928740142,-0.137379478989927,6.24180439313563
2,7,1.5508020726124,8.37937527117116,-0.115859993096975,6.32898140228402
2,8,1.55315522049699,8.71959401579386,-0.103746192256445,6.33837255286744
2,9,1.31811984348311,8.8019864141485,-0.112386753430966,6.3044785022346
2,10,1.35108623313442,8.49108301634354,-0.148274982463604,6.30287618369989
3,0,1.55774878387197,7.39883036884537,-0.118814892611997,6.48928099254391
3,1,1.59564006223442,7.27195974244427,-0.122324173861785,6.39627830194611
3,2,1.68637751441056,7.40702212213,-0.119526154512546,6.48289574916506
3,3,1.77007040196636,7.50915910335365,-0.0845228951959989,6.39852641042767
3,4,1.64583399116285,7.62504080652896,-0.121080736729166,6.44186345143434
3,5,1.76308543743215,7.77845132077339,-0.123401404638873,6.37928787757404
3,6,1.8143742217755,7.86013273066614,-0.13151864294338,6.42245134898549
3,7,1.44256402339547,7.90245065040687,-0.111291582849097,6.42437097532952
3,8,1.64651556546474,8.05897804326504,-0.0911176647376199,6.42767991316426
3,9,1.22033772276803,8.2310839750721,-0.119316021792825,6.30020820846596
3,10,1.3458939545725,8.05201573247059,-0.114175490477862,6.38198059783171
4,0,1.61125172921472,7.31271314343319,-0.0689714343038165,6.48887803602686
4,1,1.6123198429852,7.30233765144801,-0.0926416979310041,6.37381169368513
4,2,1.69483256651427,7.46196673446991,-0.108448574303337,6.50355116533811
4,3,1.80274552996802,7.6197472532301,-0.0705120297428307,6.37793902561137
4,4,1.64619596760967,7.76551243904712,-0.0830469044161825,6.37507042734518
4,5,1.77030239294338,7.86151581887346,-0.10070225200278,6.37751754755844
4,6,1.63749431527754,7.96508096878161,-0.115906484762579,6.38374670211479
4,7,1.52582436958729,8.16881922920758,-0.101689411717915,6.27170056605196
4,8,1.56182737429069,8.37682665096123,-0.0716650856427577,6.3260070074311
4,9,1.28054194074978,8.5632184076183,-0.117701342102272,6.20806888745396
4,10,1.32492228377916,8.32773134514277,-0.120771201966366,6.26839932465053
5,0,1.58453178516173,7.48237541619352,-0.0767623637161183,6.44266453696028
5,1,1.87030299134424,7.49349623199993,-0.117655264827695,6.3842754014535
5,2,1.6513086707462,7.5860276290866,-0.100232067067385,6.412672396754
5,3,1.82124575724301,7.66018108337847,-0.0690005556343224,6.38459246842029
5,4,1.62054785862107,7.82953135188725,-0.105696100919658,6.33817392871019
5,5,1.64068228826083,7.98291345768124,-0.0927310018233265,6.40094171620917
5,6,1.64112823199196,8.07771834943101,-0.11413231309045,6.33521112542112
5,7,1.53896477302905,8.27766385684489,-0.0937346814639596,6.25095157502613
5,8,1.42628031990004,8.56034851109372,-0.102909542088884,6.35501232080496
5,9,1.17932284929591,8.68324983661348,-0.112144280520829,6.24219442328654
5,10,1.34167012076255,8.45669115627864,-0.120965174228183,6.32136948528986
6,0,1.58580706251439,7.35922240771303,-0.0911989621595623,6.46361974897562
6,1,1.7193729767612,7.43381851254832,-0.108531439532784,6.41485858189002
6,2,1.73218362208038,7.64485319389417,-0.136398056098793,6.45031829086099
6,3,1.64957623031742,7.79773061889259,-0.0909535647086807,6.30218782172815
6,4,1.56952967806542,7.96246058336681,-0.115407893527909,6.27155857305054
6,5,1.54897833735462,8.0536593872938,-0.0972538082891286,6.320187956836
6,6,1.67051680313177,8.18183274037962,-0.141294249446433,6.42043676439298
6,7,1.49941540622586,8.28715161820311,-0.101810534482421,6.26942480257652
6,8,1.50413109085742,8.45753572057951,-0.103520267268187,6.42393178691766
6,9,1.25691897419483,8.65526444469755,-0.114419607722671,6.27035007457033
6,10,1.24848200788601,8.45704160467033,-0.127517753249412,6.28276896100949
7,0,1.6076112002101,7.82182758624544,-0.111842633514177,6.48955258111156
7,1,1.69130636609206,7.79854477656973,-0.132237849828544,6.50611390394181
7,2,1.79658179903986,7.8930592461925,-0.130332250487527,6.40945262646265
7,3,1.80393511202219,7.99900547893026,-0.125205959129896,6.37638852810992
7,4,1.58863613721448,8.2202568881791,-0.125016563739761,6.35006176727907
7,5,1.72663927631921,8.24357197579545,-0.135435604725583,6.39337676474808
7,6,1.64033047160355,8.25216395911098,-0.128209110768308,6.3065111874133
7,7,1.41754300182083,8.38262020000933,-0.129662840443319,6.2757923068344
7,8,1.46439324579369,8.53920584417821,-0.0940956701531394,6.37337732121478
7,9,1.23585199267487,8.55821602875734,-0.111564779345463,6.30274410446222
7,10,1.15106657487299,8.34099620918923,-0.124948165532377,6.33798970541453
8,0,1.61877322297056,7.3899909656239,-0.0899601840344205,6.54162709487443
8,1,1.65274219562644,7.41071378377311,-0.116277913453101,6.41554998600858
8,2,1.75209138780514,7.61666612419739,-0.110799453780442,6.46140945050515
8,3,1.74063933281142,7.57768489565667,-0.0859742866005198,6.42501359981647
8,4,1.60087207425568,7.80880091942164,-0.0995816898228448,6.39699955959572
8,5,1.71648428879869,7.88953531235411,-0.0771829005488617,6.4082290607408
8,6,1.66296639794134,8.01197844775716,-0.104189302021991,6.33160111952062
8,7,1.54440730030021,8.27686117082559,-0.108376843275836,6.39854142739437
8,8,1.55768820436925,8.45046175214449,-0.0979281450864171,6.39860631224768
8,9,1.25294542108055,8.44334114611952,-0.105777026623061,6.29310703288523
8,10,1.34701839540473,8.21819396988304,-0.120883133260155,6.3733825224178
9,0,1.57487760640828,7.40860656179131,-0.12034606486643,6.4575615751493
9,1,1.67965833505198,7.35109840887387,-0.116836512091405,6.4496852167592
9,2,1.67968046302522,7.40533511822456,-0.125212026521916,6.42311740356631
9,3,1.70647531734132,7.48727763517859,-0.107525020071312,6.3703880221994
9,4,1.72456987875469,7.65299347636663,-0.129227919433898,6.40627375405604
9,5,1.79880053898348,7.73013909223426,-0.0983172838290495,6.43146026185646
9,6,1.62285894294805,7.80050013699368,-0.118442015220629,6.43249892138136
9,7,1.51005542751399,8.07759041869975,-0.0999230626303937,6.41645453123926
9,8,1.67990437318508,8.28584268497348,-0.102790805833176,6.36842749068486
9,9,1.22562580426657,8.40549144586608,-0.106369891318301,6.36905769505993
9,10,1.35621353682619,8.15351142473769,-0.138417368539784,6.37142614841668
10,0,1.56198259600421,7.62428028664997,-0.0982792084009384,6.43058343781888
10,1,1.76744786379829,7.53244359290649,-0.111337404085852,6.36766759722672
10,2,1.61683421935071,7.69474864942362,-0.127925942416224,6.49574323321215
10,3,1.70936311316551,7.76797354668329,-0.0992329522006594,6.26725845734198
10,4,1.51506254147319,7.88905827275139,-0.105997930677878,6.30561010233579
10,5,1.64201867173349,7.86358733466468,-0.10714628674622,6.32253663852134
10,6,1.68106273630421,7.8706520528674,-0.138624597335018,6.36462769106969
10,7,1.65408483369383,8.03032602065603,-0.0952824416766062,6.24113895282933
10,8,1.42864835408139,8.33527896225245,-0.0834843291868838,6.38818554292374
10,9,1.34321932452667,8.36595494365048,-0.0982765276628959,6.34274994412139
10,10,1.2362481533541,8.17948990276554,-0.135621738797981,6.30773244492243
11,0,1.52245599871162,7.59812601167002,-0.0715916412819936,6.43092237193023
11,1,1.66092360455911,7.61111491388627,-0.101005726205772,6.34061488641658
11,2,1.78837592497315,7.79695123615757,-0.124900157418398,6.36229739194767
11,3,1.71193008217586,7.83079444285741,-0.0813158230357831,6.3688014579045
11,4,1.46029095008603,7.94777805296493,-0.0864586307533137,6.36239038869186
11,5,1.70925023916727,8.18313844216173,-0.0953671729290891,6.32816227808627
11,6,1.72684066033159,8.27315790326094,-0.120049122790874,6.37435057437507
11,7,1.49761017439301,8.35655903380738,-0.100650395085209,6.25433518297565
11,8,1.45484601066786,8.44236403586216,-0.0996066271590783,6.30839738307037
11,9,1.19617350111318,8.59362488569168,-0.110398538095797,6.21050243891438
11,10,1.27628399237931,8.46667417867203,-0.110630803360516,6.2592938586417
12,0,1.54896829701118,7.85170109606212,-0.096121167945495,6.48555741409221
12,1,1.63893130381587,7.83486432813204,-0.133098288222734,6.47283096369191
12,2,1.73236214565255,8.04366419362304,-0.140706225710659,6.45567267260447
