"boot","degree","mean_error_interval","mean_abs_int_size","melcon","interval_entropy_0.25"
1,0,0,7.58399142977793,3.85296256404151,6.52578980257716
1,1,1.51431531856983,6.77612507165871,3.97865000620802,6.25920781625533
1,2,1.03030799144844,6.51539092464124,4.03590836062854,6.24676989527858
1,3,0.942125728116773,6.38818677524253,4.02567251144363,6.12577651910077
1,4,0.790620735216432,6.22698927705976,4.06689041504815,5.99552093972161
1,5,0.918728394514967,5.92958417241138,4.07649523314706,6.05714294830294
1,6,0.792176654722518,5.76739280340265,4.1402565066254,6.0234346096973
1,7,0.862437585137895,5.66117754880054,4.12010251625604,6.05522550591913
1,8,0.770681598061313,5.5232399820682,4.10369807618404,5.99498631261179
1,9,0.843084667999391,5.46196534971553,4.09571944933062,5.90174662281899
1,10,0.614063762008186,5.36035339942637,4.14788881637837,5.86999557490705
2,0,0,7.21551411274301,3.8866883741187,6.43254350793835
2,1,1.55976112334234,6.47439711016372,4.01900067820203,6.17051419110999
2,2,0.934302795101516,6.25595946190612,4.00943550689135,6.15038277266618
2,3,0.958052347542286,6.10236061855877,4.06522015147252,6.16509588632976
2,4,0.87294992888311,6.01751239412578,4.12338134772864,6.00917516422803
2,5,0.895262924154656,5.70314019987008,4.10204942174658,5.95446191987942
2,6,0.754802214476441,5.72244001370582,4.18720839305904,5.99332743173871
2,7,0.866694487134111,5.43679948372304,4.1849741677884,5.99245437438122
2,8,0.811432092429166,5.41614624740685,4.14101523596202,5.9259104832961
2,9,0.819453870398813,5.48589267098715,4.1407974255203,5.78460500622297
2,10,0.620274480703817,5.33409276117849,4.15960956703663,5.94595205271235
3,0,0,7.10997642726144,3.87174971867799,6.45031461032358
3,1,1.39894125759638,6.33648889837024,4.01583914189925,6.32606828902663
3,2,0.959615834421133,6.23927001089202,4.03998810477772,6.19536215034738
3,3,0.873284129027717,6.05776044835769,4.01626839685807,6.22009963667572
3,4,0.781153438547702,5.97129675492141,4.09468053200654,6.02462897586284
3,5,0.878439170655077,5.71949270910374,4.07980989733526,6.03907022695898
3,6,0.850488228490345,5.53527072758798,4.16219700403115,6.0391364374931
3,7,0.821182588117471,5.3704376259156,4.10414659417817,5.96422667335968
3,8,0.782422549193024,5.36959204835106,4.15783249843657,5.95495481942256
3,9,0.870183287098303,5.3401649399699,4.12167372237042,5.9030402978992
3,10,0.692872773976527,5.23836428969126,4.13097294276611,5.93809726453583
4,0,0,7.32237286884691,3.88063303668023,6.49774118750705
4,1,1.38019137062898,6.55772706141072,3.97124596722778,6.29375551057779
4,2,0.995185877967926,6.39256813914206,4.04356420999158,6.21969693868694
4,3,1.00183386007624,6.12720132970895,4.0313696595987,6.17427866619722
4,4,0.847649436678491,5.97105402119456,4.12654588336187,6.04209225350547
4,5,0.882877904965425,5.62291226298404,4.07695459385231,6.0855361434951
4,6,0.836357957729617,5.66295116180614,4.15838664261302,6.01728005543153
4,7,0.924678157832229,5.46054304592977,4.21130931643763,5.91527564338682
4,8,0.751468626931514,5.35249398392839,4.14230242095809,5.8996542432584
4,9,0.872222582890853,5.19759197805221,4.09322490704601,5.90478524668421
4,10,0.619687655267087,5.13098234472187,4.1881596690032,5.80905861432182
5,0,0,7.6525576821935,3.90399668136899,6.47713328213162
5,1,1.5371108855451,6.7396837388547,3.98454870023377,6.34707129174287
5,2,0.93274746795845,6.52038691591147,4.02997061914635,6.2282009223848
5,3,0.929874180115472,6.45193796017448,4.03909730633837,6.15762148516667
5,4,0.79016224079215,6.35030618103513,4.13185595682198,5.99361745617943
5,5,0.899453293013686,6.11558498408394,4.0949623330568,6.08079531086824
5,6,0.797181526335984,5.89500576487877,4.17336095996257,5.97486148138786
5,7,0.912541621911244,5.60599493174335,4.1819825251687,5.9660274178123
5,8,0.881791805458256,5.54445981928496,4.10796666566098,5.99418327955505
5,9,0.880826278737721,5.4862533616479,4.11241205691537,5.89073128276381
5,10,0.691937891222703,5.37034718303802,4.1705920811281,5.92132133165401
6,0,0,7.4543504230136,3.87216194552287,6.3998207636699
6,1,1.56198938340113,6.60881066276129,4.02296289788215,6.21594802468776
6,2,0.876544122887449,6.31564948966116,4.00602153541868,6.19318894675281
6,3,0.922168105897444,6.12542092460988,4.04651785402907,6.18780815675207
6,4,0.830632490448024,5.94889441182948,4.13808030322872,5.94650088233039
6,5,0.86821554842701,5.71161499829434,4.09801203902787,6.07622751185811
6,6,0.82327063421524,5.70834956102282,4.16595579933604,5.96197557361932
6,7,0.868387100820565,5.38009754694401,4.18208150358958,5.99270033958655
6,8,0.791634660860235,5.32265450116999,4.14789894632578,5.97048526950458
6,9,0.875367179756878,5.23669725622514,4.11030858299009,5.9516379901318
6,10,0.682349507479827,5.08992430771743,4.17984456091345,5.94903950320628
7,0,0,7.47298220024838,3.9181611409203,6.50659047540517
7,1,1.47199570239484,6.7632776893922,4.01626236842875,6.28449039547281
7,2,0.992411309774481,6.53558558610606,4.07783344101029,6.26292212490544
7,3,0.885982317701964,6.4149067429721,4.06965951575539,6.20124543122713
7,4,0.815439792359224,6.33292119748503,4.11702294266748,6.05654809349881
7,5,0.978156925185683,6.0540960015844,4.09827560422722,6.04533632049653
7,6,0.865198121720313,5.93836954693721,4.18798033999837,6.0387458765436
7,7,0.919513577350342,5.70922258729574,4.15056025405182,6.07990169552533
7,8,0.86096735926362,5.55796092784683,4.1651035985042,5.94014445151314
7,9,0.93390383419003,5.55826708891514,4.15571406820909,5.94111339397675
7,10,0.675144259410223,5.41030744734174,4.16579648047957,6.00518281798047
8,0,0,7.50567679506552,3.89194994440401,6.42967176699307
8,1,1.39106178731426,6.72088312182029,3.98608091037683,6.30727895354667
8,2,0.994447519134604,6.38360187908111,4.01405127527941,6.22429605946174
8,3,0.904262655820034,6.23231167000734,4.03286405919459,6.10107882691828
8,4,0.830613271135833,6.09901549889118,4.10621624724142,5.95366675533477
8,5,0.883813571392749,5.95381566727509,4.04244669864998,6.11462951266877
8,6,0.848685041707252,5.67290340433933,4.13178490921733,5.97511772310875
8,7,0.832086324847201,5.47863897066695,4.17819401199475,6.02352356934842
8,8,0.847285497417036,5.41666031296461,4.114301078439,5.97394655914634
8,9,0.873729121362924,5.37218791535141,4.11001357676892,5.93558662644052
8,10,0.635176751668123,5.31014893767974,4.1422122606661,6.00738296479737
9,0,0,7.23004963412039,3.90535651106736,6.46337008530034
9,1,1.4686014520086,6.39902116026334,4.05820624645633,6.22744291925205
9,2,1.03202946467593,6.30468044617059,4.06404297422168,6.23516895150634
9,3,0.873635934499181,6.13038577933918,4.0812602593244,6.14439243845204
9,4,0.755291201480624,6.00029718558266,4.10636239157311,5.94724817616959
9,5,0.871895720482635,5.77828825669355,4.13288866291045,6.03448670127918
9,6,0.847585110330587,5.65971782083411,4.19807820071067,5.97525210834078
9,7,0.897298754535958,5.46435564387139,4.20251081789493,5.95752003269545
9,8,0.842297105094347,5.4602158724791,4.20965949049037,5.91390967169734
9,9,0.845920048296557,5.4451021319448,4.19157901377709,5.92195650369705
9,10,0.661171801573475,5.33020491327664,4.18539548111948,5.92191155587418
10,0,0,7.3738220979306,3.89367700973767,6.45862239700163
10,1,1.49325357297211,6.54387393056753,4.04359277512897,6.30162750757236
10,2,0.911407838527121,6.376482816122,4.08154182301193,6.19881434171114
10,3,0.912756251453583,6.25032000890511,4.08389736091816,6.0833908972593
10,4,0.802343094489383,6.19279058506683,4.08740417392308,6.07506127262599
10,5,0.932739204631433,5.90621090543302,4.05216561662693,6.05818265212306
10,6,0.909159903621776,5.69696439579198,4.16747814168866,5.97613936966863
10,7,0.856268089534297,5.4783954159569,4.19122228812861,5.98948828592166
10,8,0.827647193258492,5.43069682638951,4.17145644738691,5.95072112873276
10,9,0.868427930224741,5.46728414219047,4.16411710980372,5.9274281235687
10,10,0.634275509388374,5.35554323167225,4.14618980961864,5.89276126100724
11,0,0,7.36179698203947,3.90357438313852,6.45833909029673
11,1,1.40977746230553,6.64712977550328,3.98420954151496,6.2807495363102
11,2,1.06940326745987,6.34556511881824,4.06305178739859,6.27659904438912
11,3,0.995376012926147,6.11350415048008,4.03845573590498,6.22665162191886
11,4,0.888427720493012,6.04509422774715,4.12185740224801,6.08949013611732
11,5,0.87633928138964,5.82636079317575,4.07624306340733,6.09602790321593
11,6,0.888777951438483,5.67889516408932,4.1935813476729,5.98032222489045
11,7,0.905303448392855,5.42158597483692,4.1511877289044,5.90229547926406
11,8,0.86487304052821,5.28730320209681,4.16629156596216,6.02811527694005
11,9,0.792857972824767,5.32933334311194,4.110504047613,5.90639987163372
11,10,0.614264458267854,5.27875374530268,4.18398412804238,5.91491746272292
12,0,0,7.281251002976,3.94180696419216,6.42842007945344
12,1,1.39864469178736,6.46733353284535,4.02153751546175,6.2748909925741
12,2,1.0001298117023,6.2336952044217,4.00882275087165,6.16485295814572
12,3,0.886172341427189,6.11794609661301,4.04017041043824,6.12334118770533
12,4,0.759866288581498,6.02312569715383,4.1111091063068,5.99259773838842
12,5,0.951627997569227,5.77427299386926,4.10396116633693,6.09333568333781
12,6,0.738833541188654,5.62248268880499,4.16131294471824,5.991316980829
12,7,0.950632114377517,5.35735296625922,4.19166944933684,6.00381859318925
12,8,0.899899305759228,5.16398504918313,4.19323929175252,5.93964813655918
12,9,0.765082177159193,5.065796213834,4.17067584623481,5.88356487635723
12,10,0.622762166329513,5.00387086673371,4.1608879173779,5.94732677751399
13,0,0,7.25645854471107,3.8957920959471,6.48912131165424
13,1,1.40588826677803,6.50224003579986,4.0194816692749,6.29188306954344
13,2,0.873645374921289,6.30048866178994,4.02825516456158,6.29169966996769
13,3,0.962582450410119,6.08123745888726,4.08272591896257,6.1612602526554
13,4,0.819035901209012,5.95046548943687,4.14110273307264,5.99528712493103
13,5,0.860658562205272,5.73977454977669,4.07001103786968,6.10076518854814
13,6,0.80969564024269,5.52785861311249,4.17342255513439,6.06906697057271
13,7,0.879832827604903,5.34366619064647,4.18914047833692,6.03032806921895
13,8,0.789331487022612,5.40180716079143,4.14055962913904,5.97945203247623
13,9,0.799095612997244,5.4483768270851,4.10799956316766,5.96364556167983
13,10,0.644480641616056,5.30543418612751,4.15473518418398,6.00230963505467
14,0,0,7.45428566460282,3.90341837487844,6.50678983648804
14,1,1.43386875855267,6.72158700814183,3.96749828439463,6.33121335023831
14,2,0.987002898424404,6.3995019415024,4.0318274004151,6.22498893333344
14,3,0.921209572046057,6.21414578667366,4.06384008931632,6.14768076873039
14,4,0.792509070222539,6.08567347718805,4.10840858314197,6.09474662683927
14,5,0.937547121160598,5.72151529031225,4.10491335507484,6.08777303959393
14,6,0.856488114683214,5.51267970629958,4.19075327377774,6.01808366010021
14,7,0.870960187240176,5.26096262242182,4.19525561865298,5.96964097400826
14,8,0.714991984167618,5.19074160997914,4.14267472351199,5.9806318314001
14,9,0.813773651600061,5.31182811171973,4.13707311514135,5.94264156688571
14,10,0.654662214303309,5.2845038879545,4.16947112887166,5.98887070236624
15,0,0,7.98967077354215,3.85933987299083,6.43161023238204
15,1,1.64097212215126,6.94931587210294,4.02379996906004,6.28392158900233
15,2,0.96836034279261,6.70431060578895,3.98523627965029,6.23171157432321
15,3,0.970373899596199,6.49438298331781,4.05061425068194,6.17042013609695
15,4,0.809902034467647,6.3251184448082,4.08844526069194,6.08819520136082
15,5,0.962375293586257,5.99905488517697,4.05992219017859,6.05615419319562
15,6,0.828395894974272,5.8932777609309,4.15679921877687,5.96970956376699
15,7,0.962728787653876,5.60861240900145,4.17224911578889,5.96854007793564
15,8,0.812071071496004,5.60205940100184,4.10883289141529,5.90464479674222
15,9,0.770712626831025,5.51777771729611,4.1173886311047,5.87372589291265
15,10,0.647800358361366,5.44308088126595,4.13475862536734,5.87275937915042
16,0,0,7.5609474739724,3.92385509811789,6.49989916943423
16,1,1.40104109281645,6.85281182827267,4.02109975695191,6.32519701422956
16,2,1.11478080980546,6.61694262320515,4.03174741317792,6.29532397220005
16,3,0.944117873060484,6.4365958736882,4.05685416444216,6.25952765661274
16,4,0.842906549552609,6.28797700669794,4.12957087402782,6.0256107233545
16,5,0.896431916598106,6.13857995930027,4.0961677894798,6.08581657917368
16,6,0.84373416931738,5.91921781513229,4.14591392688991,6.02363560069022
16,7,0.874358814192382,5.74629259960651,4.19587383051233,5.95845256106611
16,8,0.796706765255112,5.70858067628248,4.19124949341605,6.00088739395266
16,9,0.906122593826991,5.6511485067343,4.14371417766833,5.97187950126615
16,10,0.62397993189725,5.56984980870585,4.12127314842624,5.90622737023291
17,0,0,7.21395887212278,3.89465737527592,6.4887820778913
17,1,1.49774750049046,6.44834180632752,4.07636319263517,6.255883047497
17,2,0.916450525591667,6.35066285488524,4.04005233508477,6.259967187764
17,3,0.949600858952256,6.22450113061214,4.06194856483243,6.14589184176952
17,4,0.78578482109196,6.09441247910882,4.13039027836686,6.04288253896554
17,5,0.861984434784468,5.86660674415862,4.12035320521875,6.02794689434368
17,6,0.86155591220371,5.76940201642731,4.21526875538417,6.09673554929898
17,7,0.982198201543509,5.47087242312741,4.18816878255842,6.01643534207543
17,8,0.859175397835475,5.4116846317898,4.18641708989639,5.98834158180807
17,9,0.792408932249286,5.44429048893394,4.13299672054939,5.96863621624358
17,10,0.632545285988858,5.38156235274444,4.16780955298099,5.98748506269318
18,0,0,7.51916106181489,3.87688825328192,6.44107046125605
18,1,1.49479854605135,6.69101670773129,4.00651484584913,6.25273721126861
18,2,1.01349280396297,6.43917591640462,4.00647564183953,6.28561131677504
18,3,0.885889158983201,6.25605909549093,4.01327602927636,6.19244496927247
18,4,0.749729928483878,6.15908839115723,4.11589093276623,6.02664804392236
