"boot","degree","RMSE_interval","abs_int_size","melcon","entropy_0.25"
1,0,NA,6.72639399493825,4.04583637158589,6.60921685389445
1,1,3.88466714345016,5.26014272331445,4.02918986202825,6.26412369481461
1,2,2.71624493811335,4.74962149604671,4.13046979768168,6.129893001583
1,3,2.37193059938029,4.14503705748585,4.17690404789145,5.99005284934883
1,4,2.409494447528,3.96837791468708,4.22149772673572,5.90437518641937
1,5,2.20655186873193,4.01201073813985,4.19637953425521,5.88174215826335
1,6,2.73509808698473,4.39108051680601,4.19622016224755,5.98182895406576
1,7,2.6970738043447,4.36089285252501,4.17017347244455,5.9293247650471
1,8,3.07513600597504,3.86357439158257,4.21524620763346,5.95369749614106
1,9,1.90704323100941,3.77776648300688,4.14046902078431,5.80503261194269
1,10,2.34864724987262,4.13127700490194,4.17688357304257,5.95772006231402
2,0,NA,6.92197034560856,3.9527947933677,6.51942128446677
2,1,4.17174326055184,5.66602056459507,3.99785439334501,6.33702813875331
2,2,2.83639413318764,4.93077374760182,4.12221197125545,6.17460824737225
2,3,2.36994875408675,4.15400391019894,4.17705002107497,5.93019133372473
2,4,2.61923545231917,4.05591769350051,4.15660250669773,5.88483558101904
2,5,2.13317346990371,4.12740467867454,4.18628517524906,5.83818273514508
2,6,2.92885697179794,4.25880010321533,4.18407444488132,5.98592704446787
2,7,2.7705631221508,4.38834039986792,4.18492011340853,6.04552110579496
2,8,2.58773137671086,4.07118656690864,4.18823597985704,5.98203131379164
2,9,1.96181625640493,3.9181974422197,4.18642066509492,5.85089264779208
2,10,2.17538165252871,4.22894731111086,4.20474045430837,5.91595772295818
3,0,NA,7.24498958709358,3.9445215420931,6.57370807311206
3,1,3.62118528322772,5.72444080417885,4.05551562052295,6.32686513768372
3,2,3.1543015596988,5.00554065603898,4.12566794675135,6.16454156823056
3,3,2.63998015689526,4.3466172140859,4.16225882374475,5.99924795941835
3,4,2.87773487063922,4.36787452741387,4.18361761041083,5.92456173846777
3,5,2.3860058170931,4.38677879041013,4.15715477976915,5.93166265673156
3,6,2.21142410218831,4.41511050361156,4.19201155683723,6.01957897014375
3,7,2.37631634755552,4.53703501403234,4.21774537030249,5.95817422701989
3,8,2.74231313664217,4.01590898968873,4.18110367758086,5.93369022707541
3,9,1.98865147345983,3.72419505558814,4.18436261336682,5.80002926012119
3,10,2.48951101746931,4.34853808761033,4.1211605855728,6.02301098222511
4,0,NA,7.05973552817458,3.98763432994761,6.64927377221247
4,1,3.88538473393073,5.35037942532191,4.04792847551762,6.286202366292
4,2,2.82081964159069,4.90982070104021,4.12120306973172,6.1938290221341
4,3,2.53795434921882,4.29878881604482,4.12146628124643,5.98192772211622
4,4,2.4383754314771,4.0535846325443,4.19991993900958,5.88687798852309
4,5,2.20512597922469,3.97808059158251,4.21543300131936,5.79466967327196
4,6,2.74260908358584,4.35793171599244,4.22631258439987,5.93717211336464
4,7,2.43815131429383,4.38574208316522,4.262883066838,5.87619444633903
4,8,2.72259196544605,4.48931122618708,4.18256933502187,5.97274780637885
4,9,2.08604324163466,4.09007727905536,4.16202549862248,5.85607432140953
