"participant_id","id","degree","type","origin_id","network_id","register_trial","max_num_diff_pitches_allowed","reference_pitch","target_pitches","num_target_pitches","target_intervals","sung_pitches","num_sung_pitches","sung_intervals","sung_intervals2reference","save_plot","stats","max_abs_pitch_error","max_abs_interval_error","direction_accuracy","root_mean_squared_pitch","root_mean_squared_interval","full","trial_maker_id","net_n_trials","net_n_failed_trials","net_num_notes","register_source","sung_median_pitch","register","predicted_register","singing_performance","GMSI_SA","GMSI_MT","gender","age","mt","sung_intervals_confirm","pitch_RMSE","interval_RMSE","int_class"
"18b1",171,2,"custom_trial",316,"97b1","low",5,58.634547584016,"57.8102642934149,63.8165148092644,55.06708865136,56.6426035420685,56.8189802211849,59.9002521307316,53.1516024067499,54.2658705589834,54.7240602722436,54.0453974441088,57.7745773866863",11,"6.00625051584946,-8.7494261579044,1.57551489070856,0.176376679116409,3.08127190954671,-6.74864972398175,1.11426815223352,0.458189713260182,-0.678662828134804,3.72917994257746","57.6785575029702,53.9656880100179,57.1872809496888,55.799185729902,59.2044094810901,59.9905994923305,57.6278480481481,54.5193107840427,55.4071456289515,56.0224971668738,53.2520568376466",11,"-3.71286949295229,3.22159293967089,-1.38809521978676,3.40522375118807,0.786190011240421,-2.36275144418239,-3.10853726410544,0.887834844908831,0.615351537922315,-2.77044032922728","-0.955990081045826,-4.66885957399811,-1.44726663432722,-2.83536185411398,0.569861897074091,1.35605190831451,-1.00669953586788,-4.11523679997332,-3.22740195506449,-2.61205041714217,-5.38249074636945",TRUE,"11,11,-0.131706790444703,-9.85082679924645,2.12019229832884,-0.843417812166486,2.38542925990518,0.0903473615988872,4.47624564139824,0.253440225059286,0.683085356707934,1.97709972276505,-4.52252054903968,-0.305693825921263,9.85082679924645,3.72815903532636,-9.71912000880175,11.9710190975753,-2.96361011049532,3.22884707207167,-2.29508189830629,4.38589827979936,-4.22280541633896,0.429645131648648,1.29401436605712,-6.49962027180474,-0.439081375859498,11.9710190975753,5.86016000040244,20",9.85082679924645,11.9710190975753,20,3.72815903532636,5.86016000040244,TRUE,"singing_block1",10,0,11,NA,44.7257100897084,"low","low",8,1,1,"male",31,0,"-3.71286949295229,3.22159293967089,-1.38809521978676,3.40522375118807,0.786190011240421,-2.36275144418239,-3.10853726410544,0.887834844908831,0.615351537922315,-2.77044032922728",3.72815903532636,5.86016000040244,"first3"
"4b1",110,1,"custom_trial",243,"98b1","low",5,62.2231601925334,"60.7284834074635,56.6041393633383,57.5181688038424,65.9775001531571,63.7583137337642,63.4940892303822,60.5129739894399,66.5053544309721,65.8179237550758,64.4749384078699,63.7101511749949,57.949439963752",12,"-4.12434404412523,0.91402944050418,8.4593313493146,-2.21918641939283,-0.264224503382046,-2.98111524094228,5.99238044153226,-0.687430675896366,-1.34298534720588,-0.764787232875008,-5.76071121124285","56.9514502097681,65.8055257970601,55.9989123088616,58.2851800940312,58.2043074698574,62.6529893790961,54.3717830672391,56.2794756141849,56.6582200621682,61.0869000675469,53.850889282062,55.8984496738351",12,"8.85407558729203,-9.80661348819852,2.28626778516958,-0.0808726241737574,4.44868190923873,-8.28120631185708,1.90769254694582,0.378744447983301,4.42868000537869,-7.23601078548485,2.04756039177308","-5.27170998276533,3.5823656045267,-6.22424788367182,-3.93798009850224,-4.018852722676,0.429829186562728,-7.85137712529436,-5.94368457834853,-5.56494013036523,-1.13626012498653,-8.37227091047139,-6.32471051869831",TRUE,"12,12,-3.77703319769542,9.20138643372184,-1.51925649498086,-7.69232005912588,-5.55400626390681,-0.841099851286032,-6.14119092220083,-10.2258788167873,-9.1597036929076,-3.38803834032302,-9.85926189293286,-2.05099028991694,-4.25061611569514,10.2258788167873,6.65231325747399,12.9784196314173,-10.7206429287027,-6.17306356414502,2.13831379521908,4.71290641262078,-5.3000910709148,-4.08468789458643,1.06617512387967,5.77166535258458,-6.47122355260984,7.80827160301592,0.156912991616225,12.9784196314173,6.94348928545371,36.3636363636364",10.2258788167873,12.9784196314173,36.3636363636364,6.65231325747399,6.94348928545371,TRUE,"singing_block1",11,1,12,NA,48.9364803450085,"low","low",10,5,4.285714,"male",56,1,"8.85407558729203,-9.80661348819852,2.28626778516958,-0.0808726241737574,4.44868190923873,-8.28120631185708,1.90769254694582,0.378744447983301,4.42868000537869,-7.23601078548485,2.04756039177308",6.65231325747399,6.94348928545371,"first3"
"4b1",106,1,"custom_trial",20,"14b1","low",5,58.9467577902634,"56.4764285529489,51.82378258857,53.6760669799548,56.6807154994772,59.0467268658118,57.245125528859,54.5445160604657,65.4866906180099,59.2774511513718",9,"-4.65264596437891,1.85228439138482,3.00464851952239,2.36601136633458,-1.80160133695276,-2.70060946839338,10.9421745575443,-6.20923946663814","56.827024650887,52.1754387324931,56.4989716636443,57.8454816703159,55.7023800793349,59.9203114381504,53.9853419555726,57.0810869850129,58.3218667747198",9,"-4.65158591839386,4.32353293115118,1.34651000667166,-2.14310159098099,4.21793135881551,-5.93496948257781,3.09574502944028,1.24077978970685","-2.11973313937641,-6.77131905777027,-2.44778612661909,-1.10127611994743,-3.24437771092842,0.973553647887087,-4.96141583469073,-1.86567080525045,-0.624891015543596",TRUE,"9,9,0.350596097938038,0.35165614392308,2.82290468368944,1.16476617083871,-3.34434678647686,2.67518590929141,-0.559174104893017,-8.40560363299701,-0.955584376652027,-0.655511099482025,8.40560363299701,3.32988680899384,0.00106004598504228,2.47124853976636,-1.65813851285073,-4.50911295731557,6.01953269576827,-3.23436001418443,-7.846429528104,7.45001925634499,-0.163272559323758,7.846429528104,4.91113142889213,62.5",8.40560363299701,7.846429528104,62.5,3.32988680899384,4.91113142889213,TRUE,"singing_block1",10,0,9,NA,48.9364803450085,"low","low",10,5,4.285714,"male",56,1,"-4.65158591839386,4.32353293115118,1.34651000667166,-2.14310159098099,4.21793135881551,-5.93496948257781,3.09574502944028,1.24077978970685",3.32988680899384,4.91113142889213,"first3"
"37b1",369,1,"custom_trial",227,"90b1","low",3,58.710533633401,"55.5496507714679,58.7846107459768,66.0579044910774,63.0136120328778",4,"3.23495997450895,7.27329374510062,-3.04429245819961","57.267895955513,61.5812798883362,65.7214351453564,58.7062598187623",4,"4.31338393282314,4.14015525702027,-7.01517532659409","-1.44263767788799,2.87074625493514,7.01090151195541,-0.0042738146386796",TRUE,"4,4,1.71824518404517,2.79666914235936,-0.336469345721,-4.30735221411548,-0.0322268083579882,4.30735221411548,2.71294210781279,1.07842395831419,-3.13313848808036,-3.97088286839448,-2.00853246605355,3.97088286839448,2.98593736113498,100",4.30735221411548,3.97088286839448,100,2.71294210781279,2.98593736113498,TRUE,"singing_block1",10,0,4,NA,48.0245009715523,"low","low",10,2.428571,1.285714,"male",48,0,"4.31338393282314,4.14015525702027,-7.01517532659409",2.71294210781279,2.98593736113498,"first3"
"18b1",166,1,"custom_trial",74,"41b1","low",5,62.9003176884857,"67.7238050451213,56.836576511481,56.5960082994035,62.2155643942777,68.4111130575312,59.9953023922249,64.1934918397677,65.6136057561187,61.2944756467499",9,"-10.8872285336403,-0.240568212077513,5.61955609487417,6.19554866325354,-8.41581066530629,4.19818944754277,1.42011391635099,-4.31913010936876","63.1809793571346,56.1280471986304,58.8683506105435,55.1438622450747,59.1001929602691,55.5504456630107,60.3150836522521,56.3912936204335,56.8355236615468",9,"-7.05293215850417,2.74030341191309,-3.72448836546883,3.95633071519445,-3.54974729725839,4.76463798924134,-3.92379003181862,0.444230041113371","0.280661668648854,-6.77227048985532,-4.03196707794223,-7.75645544341106,-3.8001247282166,-7.34987202547499,-2.58523403623365,-6.50902406805227,-6.0647940269389",TRUE,"9,9,-4.54282568798673,-0.708529312850615,2.27234231113999,-7.07170214920301,-9.3109200972621,-4.4448567292142,-3.87840818751562,-9.22231213568523,-4.4589519852031,-4.59624044153118,9.3109200972621,5.79978082238001,3.83429637513611,2.9808716239906,-9.344044460343,-2.23921794805909,4.8660633680479,0.566448541698577,-5.3439039481696,4.76336015048213,0.0104842128479534,9.344044460343,4.88823887266141,50",9.3109200972621,9.344044460343,50,5.79978082238001,4.88823887266141,TRUE,"singing_block1",10,0,9,NA,44.7257100897084,"low","low",8,1,1,"male",31,0,"-7.05293215850417,2.74030341191309,-3.72448836546883,3.95633071519445,-3.54974729725839,4.76463798924134,-3.92379003181862,0.444230041113371",5.79978082238001,4.88823887266141,"first3"
"4b1",81,1,"custom_trial",147,"70b1","low",5,59.864849927868,"63.6696182341638,64.4270746270445,63.8459439245179,55.6029422316259,56.4988298441509,56.7249885986615,56.1598541433433,59.1371305457862,54.6873061645702,64.9431481738964,65.5589981753551",11,"0.757456392880663,-0.581130702526586,-8.24300169289202,0.89588761252503,0.226158754510593,-0.565134455318244,2.977276402443,-4.44982438121604,10.2558420093262,0.615850001458739","63.2140475483701,64.8023255981929,59.089809879356,59.7298930979613,59.8188723685517,54.8040745556945,56.473807615204,52.4595664503653,55.7879072956681,60.7350332439779,60.6608315307625",11,"1.58827804982276,-5.71251571883683,0.640083218605227,0.0889792705904853,-5.01479781285723,1.66973305950945,-4.01424116483861,3.3283408453028,4.94712594830977,-0.0742017132154302","3.34919762050214,4.9374756703249,-0.775040048511926,-0.134956829906699,-0.0459775593162135,-5.06077537217345,-3.391042312664,-7.40528347750261,-4.07694263219981,0.870183316109959,0.795981602894528",TRUE,"11,11,-0.455570685793724,0.375250971148375,-4.75613404516186,4.12695086633538,3.32004252440083,-1.92091404296699,0.3139534718607,-6.67756409542091,1.10060113109793,-4.20811492991849,-4.89816664459266,-1.2436059526374,6.67756409542091,3.5968863453677,0.830821656942099,-5.13138501631024,8.88308491149724,-0.806908341934545,-5.24095656736782,2.23486751482769,-6.9915175672816,7.77816522651884,-5.30871606101643,-0.690051714674169,-0.444259595879894,8.88308491149724,5.26387446419775,30",6.67756409542091,8.88308491149724,30,3.5968863453677,5.26387446419775,TRUE,"singing_block1",10,0,11,NA,48.9364803450085,"low","low",10,5,4.285714,"male",56,1,"1.58827804982276,-5.71251571883683,0.640083218605227,0.0889792705904853,-5.01479781285723,1.66973305950945,-4.01424116483861,3.3283408453028,4.94712594830977,-0.0742017132154302",3.5968863453677,5.26387446419775,"first3"
"4b1",87,1,"custom_trial",247,"100b1","low",3,63.3587906956028,"69.0927148356732,70.4944294113242,63.9507118594183,56.229486890889,60.9425303986893",5,"1.40171457565103,-6.54371755190588,-7.72122496852937,4.71304350780029","66.8955675396185,68.5128645783543,62.6157428784267,55.8194734687892,58.5359289086699",5,"1.61729703873588,-5.89712169992766,-6.79626940963743,2.71645543988065","3.5367768440157,5.15407388275158,-0.743047817176077,-7.53931722681351,-4.82286178693285",TRUE,"5,5,-2.19714729605472,-1.98156483296987,-1.33496898099165,-0.410013422099709,-2.40660149001935,-1.66605920442706,2.40660149001935,1.81637217255157,0.215582463084857,0.646595851978219,0.924955558891938,-1.99658806791964,-0.0523635484911562,1.99658806791964,1.15178868429384,100",2.40660149001935,1.99658806791964,100,1.81637217255157,1.15178868429384,TRUE,"singing_block1",10,0,5,NA,48.9364803450085,"low","low",10,5,4.285714,"male",56,1,"1.61729703873588,-5.89712169992766,-6.79626940963743,2.71645543988065",1.81637217255157,1.15178868429384,"first3"
"4b1",90,1,"custom_trial",40,"24b1","low",5,62.4670763965995,"61.6360749031456,61.4517092133475,60.4494736011336,68.6353051939457,60.5409927649074,66.8019133120257,57.6516191152719,67.8322520790788,57.1955127332828,67.3137793911216",10,"-0.184365689798028,-1.00223561221394,8.18583159281208,-8.09431242903828,6.26092054711829,-9.15029419675382,10.1806329638069,-10.636739345796,10.1182666578387","61.7923391155031,66.6535025903787,59.3410819493937,61.3463690851181,61.795456689699,55.9780505498756,57.1897037883831,61.0486072074875,54.9769685396101,57.1121332068999",10,"4.86116347487553,-7.3124206409849,2.00528713572432,0.449087604580889,-5.81740613982335,1.21165323850752,3.85890341910437,-6.0716386678774,2.13516466728986","-0.674737281096384,4.18642619377915,-3.12599444720576,-1.12070731148143,-0.671619706900543,-6.4890258467239,-5.27737260821637,-1.41846918911201,-7.49010785698941,-5.35494318969955",TRUE,"10,10,0.156264212357542,5.2017933770311,-1.10839165173986,-7.28893610882762,1.25446392479155,-10.8238627621501,-0.46191532688875,-6.7836448715913,-2.21854419367274,-10.2016461842216,-3.22744195849118,10.8238627621501,5.96151495885461,5.04552916467356,-6.31018502877097,-6.18054445708776,8.54340003361917,-12.0783266869416,10.3619474352613,-6.32172954470255,4.56510067791856,-7.98310199054887,-1.15087893295324,12.0783266869416,7.84753938650261,55.5555555555556",10.8238627621501,12.0783266869416,55.5555555555556,5.96151495885461,7.84753938650261,TRUE,"singing_block1",10,0,10,NA,48.9364803450085,"low","low",10,5,4.285714,"male",56,1,"4.86116347487554,-7.31242064098491,2.00528713572432,0.449087604580889,-5.81740613982335,1.21165323850752,3.85890341910437,-6.0716386678774,2.13516466728986",5.96151495885461,7.84753938650261,"first3"
"4b1",107,1,"custom_trial",225,"89b1","low",5,63.1568501956509,"57.1261170687423,57.0158005676786,67.7446812858541,59.6537887533572,64.4240235090796,64.5498218037563,68.4920929427104,59.2495586729362,62.5176121026328,60.7474954099204,65.7912815025891,55.7336307080395",12,"-0.110316501063693,10.7288807181755,-8.0908925324969,4.77023475572242,0.125798294676727,3.94227113895407,-9.24253426977415,3.26805342969659,-1.77011669271239,5.04378609266863,-10.0576507945495","57.9865465769323,57.3562126704911,63.9353364838552,54.1298755693347,56.9773100509909,51.8026339907694,54.7026704213003,54.8148038090576,56.598485050454,51.852181449483,54.1552604547703,55.8858329852537",12,"-0.630333906441237,6.57912381336416,-9.80546091452056,2.8474344816562,-5.17467606022147,2.90003643053085,0.112133387757346,1.78368124139643,-4.74630360097105,2.30307900528731,1.73057253048338","-5.17030361871858,-5.80063752515982,0.778486288204341,-9.02697462631622,-6.17954014466002,-11.3542162048815,-8.45417977435064,-8.34204638659329,-6.55836514519686,-11.3046687461679,-9.0015897408806,-7.27101721039723",TRUE,"12,12,0.860429508190009,0.340412102812465,-3.80934480199885,-5.5239131840225,-7.44671345808872,-12.7471878129869,-13.7894225214101,-4.43475486387864,-5.9191270521788,-8.89531396043746,-11.6360210478188,0.152202277214123,-6.07072956788369,13.7894225214101,7.76328610372571,-0.520017405377544,-4.14975690481131,-1.71456838202366,-1.92280027406622,-5.3004743548982,-1.04223470842322,9.3546676575315,-1.48437218830016,-2.97618690825866,-2.74070708738132,11.7882233250329,-0.0643842937250806,11.7882233250329,5.207980139474,63.6363636363636",13.7894225214101,11.7882233250329,63.6363636363636,7.76328610372571,5.207980139474,TRUE,"singing_block1",10,0,12,NA,48.9364803450085,"low","low",10,5,4.285714,"male",56,1,"-0.630333906441237,6.57912381336416,-9.80546091452056,2.8474344816562,-5.17467606022147,2.90003643053085,0.112133387757346,1.78368124139643,-4.74630360097105,2.30307900528731,1.73057253048338",7.76328610372571,5.207980139474,"first3"
"4b1",109,1,"custom_trial",30,"19b1","low",3,61.0587248313019,"54.8939394759197,63.3786471405018,56.9905391902091,60.5459955522049,56.4569721845411",5,"8.48470766458212,-6.38810795029272,3.55545636199588,-4.08902336766388","53.815463338858,63.0820297738489,54.747052662852,56.7068392054832,57.4205118078856",5,"9.2665664349909,-8.33497711099688,1.95978654263116,0.713672602402397","-7.24326149244396,2.02330494254694,-6.31167216844994,-4.35188562581878,-3.63821302341638",TRUE,"5,5,-1.07847613706167,-0.296617366652896,-2.24348652735706,-3.83915634672178,0.963539623344502,-1.29883935088978,3.83915634672178,2.09532119252267,0.781858770408775,-1.94686916070416,-1.59566981936472,4.80269597006628,0.510503940101543,4.80269597006628,2.73923590710477,75",3.83915634672178,4.80269597006628,75,2.09532119252267,2.73923590710477,TRUE,"singing_block1",10,0,5,NA,48.9364803450085,"low","low",10,5,4.285714,"male",56,1,"9.2665664349909,-8.33497711099688,1.95978654263116,0.713672602402397",2.09532119252267,2.73923590710477,"first3"
