NaN,NaN,-10.16,NaN,-6.67,NaN,-5.06,-3.6,NaN,-1.15,NaN,1.22,NaN,2.85,4.18,5.47,6.71,7.92,9.75,10.9,NaN,12.64,14.75
NaN,NaN,-10.67,-9,NaN,-5.7,-4.77,-3.17,-1.84,-1.25,-0.199999999999999,NaN,2.22,NaN,4.2,5.57,6.74,8.08,9.58,10.71,11.57,12.56,14.92
-12.79,-11.62,-10.18,-8.67,-6.82,-5.5,-4.69,-3.19,NaN,-1.37,-0.0399999999999991,1.04,2.15,NaN,4.03,5.44,6.81,8.16,9.68,NaN,11.59,12.57,14.24
-12.79,-11.62,-10.17,-8.75,-6.7,-5.6,-4.88,-3.38,NaN,-1.15,-0.349999999999998,NaN,NaN,3.19,4.14,5.6,6.79,8.1,NaN,10.94,11.77,NaN,14.92
-12.79,-11.62,-10.25,NaN,-6.96,NaN,-4.96,-3.27,NaN,-1.25,NaN,NaN,2.15,NaN,4.09,5.45,6.87,8.06,9.9,NaN,11.51,NaN,14.74
NaN,NaN,-10.14,-8.5,NaN,-5.83,-4.65,-3.2,-1.52,NaN,-0.16,NaN,2.17,3.15,4.26,5.38,6.81,8.04,10.15,NaN,12,NaN,14.7
-12.79,-11.62,-10.15,-8.79,-6.49,-5.73,-4.77,-3.19,NaN,-1.23,-0.329999999999998,1.21,2.08,NaN,4.09,5.45,6.75,7.94,9.97,NaN,11.46,12.79,14.66
-12.79,-11.62,-10.31,-8.86,-6.6,NaN,-4.61,-3.44,-1.93,-1.12,NaN,0.919999999999998,NaN,3.37,4.09,5.57,6.71,8.2,9.58,NaN,11.54,12.3,14.3
-12.79,-11.62,NaN,NaN,-7.09,NaN,-4.95,-3.57,-2.02,-1.12,NaN,0.93,NaN,3.3,4.29,5.49,6.78,8.03,9.68,11.31,NaN,12.8,14.64
-12.79,-11.62,-10.1,-8.7,-6.46,-5.32,NaN,-3.11,-1.94,-1.2,NaN,1.18,NaN,NaN,4.23,5.47,6.85,8.23,9.71,10.8,11.49,12.49,14.3
-12.79,-11.62,-10.21,NaN,NaN,-5.6,-4.68,-3.12,NaN,-1.16,NaN,1.41,NaN,3.23,4.42,5.57,6.7,7.95,9.68,NaN,11.49,12.49,14.22
-12.79,-11.62,NaN,NaN,-6.67,-5.7,-4.73,-3.37,NaN,-1.1,NaN,1.28,2.18,3.41,4.16,5.53,6.81,8.05,9.86,NaN,11.6,12.39,14.22
NaN,NaN,-10.19,-8.83,-6.64,-5.66,-4.67,-3.19,-1.84,-1.26,NaN,1.1,NaN,3.37,4.24,5.48,6.74,8.17,NaN,10.69,11.52,NaN,NaN
-12.79,-11.62,-10.17,-8.73,-6.79,NaN,-4.79,-3.41,-1.98,-1.25,NaN,0.960000000000001,NaN,3.46,4.2,5.43,6.74,8.18,10.01,NaN,11.57,NaN,14.8
-12.79,-11.62,-10.3,-9.16,-6.7,-5.39,NaN,-3.17,-1.63,NaN,NaN,1.28,1.97,NaN,4.3,5.59,6.54,8.11,9.65,10.81,11.77,NaN,14.42
-12.79,-11.62,-10.67,-8.83,-7.17,NaN,-4.86,-3.08,-1.98,-1.04,NaN,1.17,2.17,NaN,4.18,5.5,6.77,8.11,9.67,10.74,11.92,NaN,14.73
NaN,NaN,-10.14,NaN,-6.61,-5.72,-4.7,-3.23,NaN,-1.3,-0.210000000000001,1.45,NaN,3.1,4.31,5.62,6.78,8.17,9.61,10.73,11.76,NaN,14.3
NaN,NaN,-10.31,-8.91,-6.59,NaN,-4.75,-3.59,-1.88,-1.03,NaN,0.960000000000001,NaN,2.9,4.24,5.56,6.73,8.08,9.85,11.04,11.45,12.46,15
-12.79,-11.62,-10.13,-8.76,-6.68,-5.35,-4.79,-3.1,NaN,-1.26,NaN,1.04,NaN,2.9,4.08,5.38,6.73,8.14,9.56,NaN,11.84,12.69,14.42
NaN,NaN,-10.17,NaN,-6.64,-5.55,-4.65,-3.25,-1.98,-1.08,NaN,1.2,NaN,NaN,4.14,5.58,6.88,8.11,NaN,NaN,11.56,12.55,14.29
NaN,NaN,-10.67,-8.58,-6.59,-5.79,-4.62,-3.09,-2.06,-1.19,NaN,1.24,NaN,3.39,4.21,5.58,6.71,8.02,NaN,NaN,11.47,NaN,14.75
