NaN,-12.26,-10.48,-9.26,-8.31,NaN,-6.83,NaN,-4.81,-3.24,-1.86,NaN,0.940000000000001,1.81,2.86,3.9,4.87,NaN,6.7,7.35,9.08,10.07,10.61,11.9
NaN,-12.29,-10.95,NaN,-8.36,-7.51,NaN,-6.11,-5.09,NaN,-1.86,0.0999999999999979,1.1,2.14,2.8,3.86,5.02,6,6.73,NaN,9.06,9.66,10.65,11.9
-14.02,-12.22,-10.94,-9.68,-8.23,-7.53,NaN,-6.14,-4.84,NaN,-1.74,NaN,0.879999999999999,2.02,NaN,4.16,4.93,NaN,6.9,NaN,8.59,NaN,NaN,11.9
-14.02,-12.18,-10.7,NaN,-8.55,-7.43,NaN,NaN,-4.94,NaN,-1.96,NaN,0.969999999999999,2.1,2.89,3.9,4.97,NaN,6.77,7.33,8.56,9.88,10.61,11.9
-14.02,-12.28,-10.79,-9.58,-8.63,NaN,-6.77,-6.02,-5.01,-2.88,-1.83,-0.00999999999999801,0.98,2.06,NaN,NaN,4.97,6.07,6.74,7.43,9.03,9.74,10.61,NaN
NaN,-12.19,-10.63,NaN,-8.62,NaN,NaN,-6.1,-5.03,-3.17,-1.64,NaN,0.899999999999999,2.1,NaN,3.82,4.91,6.13,NaN,7.45,8.53,9.71,10.65,NaN
-14.02,-12.22,-10.69,-9.37,NaN,-7.45,-6.67,NaN,-4.94,-2.89,-1.67,NaN,0.75,2.19,NaN,4.01,4.97,5.99,6.88,NaN,8.18,9.77,10.61,NaN
-14.02,-12.2,NaN,-9.7,-8.6,NaN,-6.78,NaN,-4.89,-3.16,-1.75,NaN,NaN,2.14,2.82,3.94,NaN,5.81,NaN,7.35,NaN,9.78,NaN,NaN
NaN,NaN,NaN,NaN,-8.55,NaN,NaN,-5.92,-4.83,-3.22,-1.81,NaN,1.01,2.13,2.82,3.87,5.13,6.04,6.82,7.3,8.94,10.07,10.61,11.9
-14.02,-12.23,-10.7,-9.6,NaN,-7.5,-6.86,-6.18,-5.01,-2.71,-1.75,0.300000000000001,0.960000000000001,1.88,2.76,4.06,4.84,6.09,NaN,7.75,8.62,9.77,NaN,NaN
-14.02,-12.23,-10.71,-9.8,-8.33,-7.57,NaN,-6,-5.01,NaN,-1.92,0.0899999999999999,NaN,1.8,2.85,4.3,5.18,NaN,6.8,NaN,8.69,NaN,NaN,11.9
-14.02,-12.26,-11.11,-9.22,-8.39,NaN,-6.7,NaN,-4.87,-3.2,-1.87,0.219999999999999,0.75,2.07,NaN,3.8,4.77,6.11,6.63,7.7,NaN,10.05,NaN,NaN
-14.02,-12.26,-10.92,-9.31,NaN,-7.58,NaN,-6.23,-4.83,-3.1,-1.71,NaN,NaN,1.87,2.86,3.85,NaN,6.02,NaN,7.68,8.61,NaN,10.65,11.9
-14.02,-12.18,-10.53,NaN,-8.77,NaN,NaN,-6.21,-4.92,-3.27,-1.73,NaN,NaN,1.99,2.91,4.27,4.68,5.86,6.59,7.43,9.11,9.74,NaN,11.9
-14.02,NaN,NaN,-9.69,-8.56,-7.35,NaN,NaN,-4.93,-3.32,-1.73,0.390000000000001,NaN,2.28,NaN,3.96,5.22,NaN,6.71,7.54,8.59,NaN,10.65,11.9
-14.02,-12.2,-10.72,NaN,-8.88,-7.32,-6.75,NaN,-4.94,-3.21,-2.04,0.359999999999999,NaN,2.06,2.87,3.93,4.9,5.94,6.75,NaN,8.55,NaN,10.64,11.9
-14.02,-12.19,NaN,-9.37,-8.25,-7.54,NaN,-5.77,-4.97,-3.05,-1.82,-0.0199999999999996,NaN,1.96,2.82,4.15,4.95,6.08,6.7,7.58,8.63,10.03,NaN,NaN
-14.02,-12.08,-10.55,-9.12,NaN,NaN,-6.83,NaN,-5.08,NaN,-1.74,NaN,0.859999999999999,2.27,NaN,3.74,4.75,NaN,6.56,7.39,8.97,NaN,10.65,11.9
-14.02,-12.27,-10.72,-9.88,NaN,-7.52,-6.68,-5.77,-4.91,-3.14,-1.75,0.23,0.870000000000001,2.15,NaN,3.9,4.91,NaN,6.66,7.34,NaN,9.87,NaN,11.9
-14.02,-12.24,-10.64,-9.11,-8.14,-7.58,-6.75,NaN,-4.94,-3.28,-1.73,0.449999999999999,0.890000000000001,2.15,2.78,4.1,NaN,NaN,6.69,NaN,8.14,9.71,10.65,NaN
-14.02,-12.18,-10.65,-9.22,-8.67,NaN,-7.02,-6.19,-4.89,-3.33,-1.69,NaN,0.890000000000001,2.06,3.12,3.83,5.29,6.04,NaN,7.38,8.99,9.86,10.64,NaN
-14.02,NaN,NaN,-9.16,NaN,-7.7,NaN,-6.3,-4.87,NaN,-1.81,0.289999999999999,1.02,2.14,2.88,4.04,4.97,NaN,6.58,7.39,8.45,10.03,NaN,11.9
NaN,-12.18,-10.8,-9.32,NaN,NaN,-6.83,-6.04,-4.98,-3.3,-1.81,0.34,1.05,2.1,2.75,3.97,4.96,NaN,6.71,7.41,8.57,NaN,NaN,NaN
-14.02,-12.25,-10.73,-9.49,NaN,NaN,-6.84,NaN,-4.98,-3.41,-1.86,0.25,1.04,1.86,2.91,3.92,4.95,5.91,6.89,NaN,8.63,10.03,NaN,11.9
-14.02,-12.27,-10.56,-9.22,-8.44,-7.54,-6.78,-6.25,-4.85,-3.16,-1.89,NaN,NaN,2.36,NaN,4,4.81,6.03,NaN,7.27,8.28,NaN,10.65,NaN
-14.02,-12.21,-10.63,-9.15,NaN,NaN,-6.85,NaN,-5.06,NaN,-1.82,0.399999999999999,0.759999999999998,2.03,NaN,3.91,4.88,NaN,6.85,NaN,8.44,9.78,10.63,11.9
-14.02,-12.26,-10.76,-9.17,-8.26,NaN,-6.69,NaN,-4.85,-3.44,-1.81,NaN,0.960000000000001,NaN,2.89,NaN,5,5.91,6.73,NaN,8.9,NaN,10.65,NaN
-14.02,-12.28,-11.15,-9.35,-8.45,-7.34,-6.63,NaN,-4.95,-3.31,-1.81,0.43,1.18,2.06,2.84,3.93,5.01,6.05,NaN,7.54,8.69,9.86,10.61,11.9
-14.02,-12.24,-10.74,-9.34,-8.22,-7.54,-6.66,NaN,-4.97,-3.4,-1.89,NaN,1.02,NaN,2.79,NaN,4.9,6.05,NaN,7.38,8.94,10.04,NaN,NaN
NaN,-12.21,NaN,-9.14,NaN,-7.81,-6.8,NaN,-4.85,-3.31,-1.92,NaN,0.989999999999998,2.25,NaN,4.17,5.07,6.18,6.51,NaN,8.49,9.7,10.65,11.9
-14.02,-12.22,-10.78,-9.79,-8.24,-7.64,NaN,-6.01,-4.77,-3.25,-1.93,0.219999999999999,0.940000000000001,2.15,2.86,3.87,4.87,6.13,NaN,7.45,8.65,NaN,NaN,NaN
NaN,-12.27,-10.46,-9.34,-8.32,-7.42,-6.71,-6.25,-5.04,-3.36,-1.7,0.379999999999999,NaN,1.92,3,3.98,4.9,6.07,6.75,7.26,8.65,NaN,10.65,11.9
-14.02,-12.25,-10.77,-9.45,NaN,-7.52,NaN,-6.13,-4.91,-3.36,-1.97,0.120000000000001,1.15,NaN,2.74,3.98,5,6.1,6.72,7.63,8.61,NaN,NaN,11.9
NaN,-12.28,-10.64,-9.06,NaN,-7.39,NaN,-6.13,-5.06,-3.43,-1.8,0.210000000000001,1.07,2.02,NaN,4,5,6.21,NaN,7.48,8.54,9.87,10.61,11.9
-14.02,NaN,NaN,-9.47,-8.4,-7.46,NaN,-6.36,-4.97,-2.94,-1.74,0.0599999999999987,0.98,2.28,2.82,3.99,5.35,NaN,6.77,7.4,8.63,9.87,10.61,11.9
-14.02,-12.18,-10.56,-9.58,-8.44,-7.41,NaN,-6.1,-5.02,NaN,-1.87,NaN,1.21,1.91,2.68,3.98,4.88,NaN,6.48,7.4,8.33,10.07,10.61,11.9
NaN,-12.17,NaN,NaN,-8.34,-7.26,NaN,-6.04,-4.84,-3.3,-1.78,0.43,NaN,1.8,2.72,4.27,5.01,NaN,NaN,7.32,9.1,9.95,NaN,11.9
-14.02,-12.26,-10.69,-9.73,NaN,-7.49,-6.62,-5.82,-5.09,-3.29,-1.76,NaN,NaN,1.55,2.71,3.94,4.82,NaN,6.7,7.57,8.56,10.07,10.61,NaN
-14.02,-12.28,-10.71,-9.21,-8.06,-7.59,NaN,NaN,-5.11,NaN,-1.86,0.34,NaN,1.95,3.15,NaN,4.85,NaN,6.71,7.77,8.57,9.87,NaN,11.9
-14.02,-12.24,-10.79,-9.28,NaN,-7.78,-6.84,NaN,-4.94,NaN,-1.91,NaN,0.649999999999999,2.36,NaN,4.2,NaN,6.05,6.59,NaN,9.08,9.73,NaN,NaN
-14.02,-12.14,-10.53,NaN,-8.85,-7.16,NaN,NaN,-5.01,NaN,-1.88,NaN,1.29,2.09,2.9,NaN,4.84,NaN,6.66,7.72,8.5,NaN,10.65,11.9
-14.02,-12.23,-10.72,-9.2,NaN,-7.51,NaN,-6.32,-4.9,-3.26,-1.79,NaN,1.37,1.89,2.86,NaN,4.91,6.02,NaN,7.3,NaN,10.04,NaN,NaN
-14.02,-12.23,-10.55,-9.17,-8.41,NaN,NaN,-6.3,-4.96,-3.21,-1.7,NaN,0.940000000000001,2.03,NaN,3.66,4.88,5.96,6.86,NaN,8.61,10.01,NaN,11.9
-14.02,-12.22,-10.8,-9.49,NaN,-7.66,NaN,-6.24,-4.91,NaN,-1.82,0.349999999999998,1.01,2.07,2.94,4.08,5.29,NaN,6.71,7.74,9.01,NaN,10.65,11.9
-14.02,-12.25,-10.63,-9.2,-8.41,-7.33,NaN,NaN,-4.96,NaN,-1.83,NaN,1.04,2,2.81,3.92,4.82,6.03,NaN,7.69,8.56,10.03,NaN,NaN
-14.02,-12.25,-10.78,-9.58,-8.12,-7.48,NaN,-6,-5.07,-3.07,-1.69,0.399999999999999,1.03,2.12,NaN,3.87,5.05,NaN,6.74,7.76,8.59,9.87,NaN,11.9
-14.02,-12.17,-10.4,-8.96,-8.6,NaN,-6.83,-6.02,-4.82,NaN,-1.94,NaN,0.879999999999999,1.77,2.82,4.3,4.91,6.09,6.66,7.63,NaN,10.07,10.61,NaN
