iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11
28,23,25,21,20,15,13,15,14,17,12
33,25,25,20,21,18,14,16,12,11,14
26,26,21,21,19,17,14,12,16,9,10
28,22,21,21,20,20,13,12,14,12,14
32,25,24,22,19,20,15,11,11,11,14
29,24,21,20,19,19,11,12,15,11,12
33,27,21,21,21,18,15,13,15,17,14
30,26,27,20,20,19,12,15,15,11,15
30,28,20,20,18,19,15,14,14,12,11
32,28,21,18,18,17,17,13,14,13,13
31,23,21,21,20,19,14,15,12,12,10
35,27,25,27,21,19,14,11,11,12,14
35,22,24,20,18,19,13,16,14,14,10
31,25,22,22,21,17,16,9,12,12,13
32,26,20,22,22,17,14,15,15,13,11
30,26,22,22,22,17,13,15,12,11,13
34,25,21,19,19,19,17,15,14,9,13
33,28,23,22,21,19,13,14,14,16,13
30,23,22,19,18,17,15,13,16,15,15
34,24,24,27,21,21,15,12,13,10,13
27,26,22,18,22,17,15,15,13,15,11
30,24,20,17,19,18,15,12,17,14,14
30,24,19,19,16,20,11,13,15,14,14
30,24,22,24,22,17,11,14,13,14,11
31,24,25,21,17,17,14,13,11,14,13
30,25,24,15,17,18,14,14,14,9,13
29,18,20,20,20,19,15,15,15,11,13
31,25,25,16,21,17,14,17,14,14,10
33,24,20,19,20,18,13,14,12,10,11
28,27,23,22,19,16,13,13,15,15,11
32,21,22,21,22,19,14,13,13,10,11
29,21,22,24,22,19,12,13,15,12,12
31,28,21,20,19,20,15,11,13,11,13
27,25,21,23,22,21,12,13,14,12,11
31,23,26,16,19,18,11,10,12,11,8
30,24,25,16,20,18,14,14,14,14,12
28,25,26,19,18,18,12,13,14,12,10
31,25,24,25,20,18,14,15,11,11,15
33,26,23,17,20,17,18,13,16,15,10
33,25,25,18,20,17,16,13,13,12,14
31,23,22,20,20,21,14,13,12,12,10
29,27,22,18,20,20,16,17,12,13,12
29,27,23,20,19,20,15,14,13,11,15
31,24,19,21,19,20,18,13,13,15,14
29,23,23,21,20,19,13,12,14,14,13
29,24,23,18,19,20,15,15,14,13,12
32,28,24,21,20,18,14,16,15,14,14
29,26,23,19,23,17,14,12,17,9,14
35,23,28,22,21,21,14,15,15,12,11
30,24,24,25,20,20,14,16,12,13,14
27,25,22,20,19,16,14,15,12,13,11
33,27,23,21,16,20,14,15,14,11,12
29,23,25,22,18,17,18,14,15,11,9
29,25,22,22,19,17,13,14,12,12,11
31,27,23,21,21,18,14,15,10,14,9
30,27,22,19,19,18,12,14,15,13,13
31,28,21,21,21,17,17,11,14,12,15
29,25,23,21,19,20,16,13,12,11,13
32,25,24,22,19,18,13,15,14,8,13
