iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11
31,28,23,24,19,21,21,20,21,18,20
29,30,27,24,23,21,22,20,20,16,20
26,30,25,24,20,24,20,17,21,19,19
31,30,26,26,21,22,19,20,21,21,22
32,32,24,23,24,23,23,18,20,22,20
31,28,27,26,23,23,23,21,23,20,21
30,25,24,24,24,24,20,21,22,20,19
31,31,26,23,24,24,20,16,19,19,21
32,31,23,18,20,22,18,22,22,19,22
27,29,27,21,22,24,21,20,23,18,21
30,29,26,25,23,22,24,19,22,18,23
35,33,27,23,22,23,21,20,22,19,21
29,34,25,22,18,25,21,17,23,19,23
30,34,22,21,23,20,18,21,24,21,24
30,29,27,25,21,23,21,20,22,22,19
30,29,23,18,23,23,20,18,20,17,19
28,30,30,25,24,24,22,22,19,19,21
27,31,26,21,21,25,22,19,23,16,22
30,29,24,24,23,22,21,19,20,18,22
35,31,28,26,22,23,21,18,24,19,23
30,31,24,24,26,22,20,19,25,19,23
31,29,25,25,22,22,19,21,18,20,17
30,28,29,26,19,22,22,21,19,21,17
31,31,25,21,21,22,21,18,21,16,23
30,35,26,27,23,20,20,19,20,21,18
26,32,24,24,23,26,22,19,25,20,20
31,28,25,19,22,23,22,20,19,15,18
26,34,26,23,23,20,22,17,20,19,19
28,29,26,21,23,22,19,21,21,17,24
30,24,27,25,25,23,20,17,21,18,17
27,27,27,22,23,20,20,15,23,20,20
33,28,27,24,21,23,22,19,22,19,18
28,29,22,24,20,20,21,19,22,18,17
31,31,21,21,22,23,20,21,19,17,21
29,32,20,24,22,21,21,17,21,21,20
28,30,28,21,20,25,23,19,23,19,21
29,26,23,22,23,22,24,20,21,17,19
29,27,25,22,21,21,22,22,21,14,20
32,26,24,28,23,21,22,19,23,19,18
36,29,26,25,27,22,22,22,21,20,22
28,29,24,26,25,23,21,20,21,17,19
29,28,28,22,22,24,23,22,19,18,22
30,28,25,24,23,24,22,18,24,19,18
30,28,26,26,22,24,22,18,21,23,20
28,27,28,25,22,23,18,21,18,16,20
28,30,23,23,21,24,19,18,19,16,20
28,30,26,23,21,22,20,17,19,20,22
31,32,24,23,22,19,21,23,21,14,18
32,30,25,22,19,22,24,17,19,18,17
27,29,25,20,22,23,21,17,21,18,22
30,27,24,25,26,22,23,17,20,22,24
31,30,26,25,23,24,21,19,23,18,19
31,28,27,20,23,24,18,19,23,19,20
32,29,25,23,24,22,20,17,22,18,23
28,31,25,27,22,24,24,17,17,18,19
33,26,23,26,23,23,20,20,21,16,21
31,30,26,19,23,21,23,18,20,16,21
29,28,24,21,19,26,16,17,20,18,22
27,28,27,23,16,23,23,21,16,19,19
30,30,24,24,24,22,19,18,22,19,23
30,34,23,25,22,24,22,23,22,16,20
30,29,28,23,24,21,23,19,23,21,25
30,30,29,27,25,25,24,18,22,20,20
27,33,24,24,19,23,23,17,21,16,19
29,31,26,24,25,22,22,21,19,16,18
29,29,28,22,16,26,18,20,20,19,18
31,31,23,25,22,24,18,19,21,20,23
34,30,25,23,20,24,20,19,23,20,21
29,29,30,25,25,20,22,19,21,17,21
27,30,26,23,23,20,20,19,18,20,22
31,28,24,25,22,22,22,18,25,17,19
31,31,25,25,20,20,19,20,20,17,25
27,31,23,23,25,23,19,16,21,19,20
27,31,27,23,24,23,20,19,20,21,20
31,30,24,22,22,25,24,20,22,21,23
26,29,27,24,22,19,21,21,20,22,17
30,29,22,25,24,22,20,18,18,22,24
32,29,26,24,23,23,20,21,18,20,22
27,28,27,25,21,22,19,18,20,16,19
33,29,23,27,27,21,25,20,18,20,22
32,31,27,24,22,21,22,16,19,19,20
28,31,25,22,25,23,20,19,18,19,15
30,28,19,25,22,20,25,21,17,17,21
28,29,26,25,22,22,22,20,24,20,25
28,32,26,21,23,23,21,21,21,19,21
29,28,27,21,21,23,22,19,21,20,18
29,29,26,23,19,23,20,17,17,20,21
27,29,26,28,23,22,23,19,20,17,20
29,31,23,21,21,24,19,20,25,21,16
26,28,24,22,20,20,19,21,18,20,20
30,29,24,24,23,25,21,19,22,20,22
29,29,27,22,23,24,22,20,20,17,19
29,29,26,19,17,22,22,19,19,18,22
27,29,28,23,20,23,19,20,20,17,18
29,27,24,19,19,21,23,17,21,20,21
30,33,27,20,21,21,22,20,18,18,18
26,33,29,22,21,23,20,19,23,21,21
34,31,25,24,24,23,17,18,23,19,21
27,34,25,22,21,21,19,20,23,17,19
24,30,27,23,19,23,21,19,23,21,20
27,28,28,21,19,19,22,19,21,19,22
32,27,24,24,23,21,24,19,22,18,19
29,29,24,23,23,19,25,22,23,21,20
31,31,25,25,20,20,21,18,20,19,20
29,30,25,25,28,23,21,23,23,18,22
33,31,28,23,23,22,22,20,20,18,23
34,29,29,23,22,21,21,24,19,20,19
30,33,26,23,24,22,20,20,20,21,21
32,31,25,27,24,22,18,19,21,24,25
32,30,28,23,23,23,20,18,23,20,22
29,31,25,26,26,24,23,20,19,21,20
32,31,25,22,24,23,21,22,21,19,21
29,30,25,23,25,23,21,17,22,16,18
32,27,24,23,22,18,20,18,21,21,20
28,33,29,20,17,21,24,19,21,21,20
29,28,28,24,21,19,25,20,21,16,20
30,29,25,24,23,23,19,20,23,18,18
28,29,28,24,25,22,22,19,19,19,18
29,29,23,19,25,24,22,18,18,19,23
31,31,28,24,21,22,22,21,21,16,19
31,30,26,21,20,22,22,18,21,19,22
32,31,23,19,21,24,18,16,20,19,20
28,29,27,24,19,21,22,18,19,20,22
29,32,27,23,21,21,19,22,20,16,20
31,31,23,23,22,22,24,16,21,20,20
27,26,25,23,20,22,18,20,17,19,21
30,31,28,23,21,21,21,20,22,16,18
29,29,25,21,25,20,21,16,21,19,20
29,28,23,26,21,20,21,20,20,19,18
31,26,25,24,20,21,18,23,21,18,17
30,29,26,22,22,24,19,18,22,21,17
28,30,25,24,25,21,21,21,19,18,23
29,32,25,22,22,22,22,20,22,20,23
30,29,25,20,25,22,20,16,21,21,21
32,31,27,22,23,24,21,19,20,17,18
28,28,25,24,21,19,24,21,17,20,18
30,32,27,19,23,24,24,22,20,19,21
26,31,28,23,21,21,20,18,23,18,20
30,28,25,21,21,26,24,22,21,19,22
26,29,23,21,20,22,20,18,20,19,20
29,32,27,25,19,21,19,20,19,16,22
30,27,27,23,24,22,20,21,18,20,19
29,31,26,21,21,25,18,22,19,18,22
29,29,26,24,22,20,23,20,21,23,21
30,31,27,25,19,25,23,18,20,19,19
32,30,26,25,23,24,24,19,22,18,20
28,29,25,25,19,20,24,21,19,20,20
