iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11
28,29,21,16,17,19,21,19,21,15,22
28,29,24,17,25,18,20,19,20,18,21
28,30,23,17,20,19,18,17,16,17,22
29,31,23,19,20,18,19,15,20,16,20
26,25,23,18,19,21,18,19,23,16,25
28,29,22,16,16,22,19,19,20,19,24
34,28,23,18,19,22,20,20,18,17,21
31,27,26,20,21,21,18,18,18,18,23
31,29,26,18,20,18,22,20,22,17,19
30,25,24,18,18,22,20,17,19,16,20
32,25,24,21,20,17,19,16,19,15,19
30,29,23,19,19,21,24,19,19,18,21
29,25,21,18,17,20,20,16,20,13,24
30,26,27,19,20,23,20,20,19,17,24
29,27,23,18,20,19,17,19,17,17,20
31,29,23,21,19,20,21,19,19,15,22
32,24,23,21,16,19,20,18,21,20,21
30,24,22,18,22,18,23,20,21,16,19
27,27,23,19,18,19,20,19,19,19,21
32,26,21,19,18,21,18,18,15,18,21
29,28,19,17,20,18,24,17,21,18,22
29,28,25,19,21,19,22,21,20,15,21
29,29,24,19,22,20,21,17,21,16,22
31,27,23,17,17,21,20,20,19,17,21
29,30,22,18,19,18,20,20,19,17,23
32,28,23,15,20,20,20,19,18,17,21
32,25,22,15,19,21,19,16,17,14,19
32,30,23,18,22,22,20,21,19,13,21
30,30,22,17,21,18,24,20,19,17,19
29,24,24,17,18,17,21,19,18,16,22
29,27,26,17,18,21,20,21,19,16,21
30,30,23,18,19,17,23,19,17,15,24
28,26,24,16,17,20,18,16,19,17,21
30,27,23,19,17,21,21,17,15,16,21
30,25,22,18,22,22,20,17,22,16,18
31,27,23,18,18,19,16,16,20,19,17
30,30,24,18,20,21,19,19,19,16,19
29,28,21,18,22,18,15,17,20,16,22
29,29,24,20,20,21,22,17,19,19,25
29,30,22,22,19,17,23,22,17,16,20
33,24,27,17,18,19,16,19,21,18,22
28,26,24,22,17,22,24,21,17,19,19
27,26,24,17,19,21,19,23,18,17,20
28,24,20,16,20,19,22,20,16,16,18
30,28,23,20,19,18,14,19,21,13,24
31,26,19,20,18,22,17,18,19,16,22
28,29,24,16,22,22,21,18,18,18,22
29,25,23,19,21,19,20,18,16,14,24
31,28,22,19,19,19,18,20,21,15,24
29,29,26,19,19,19,22,18,20,15,19
34,27,26,16,18,19,22,20,16,16,23
33,30,19,17,18,17,17,19,19,17,20
30,26,21,18,22,21,22,22,17,15,18
33,26,23,19,21,20,20,16,18,18,17
30,28,23,17,20,22,18,17,18,16,20
28,24,24,17,20,19,21,20,19,17,19
29,28,21,17,21,23,18,18,20,18,18
31,27,21,14,21,17,20,17,20,15,19
30,26,22,17,18,16,24,23,20,16,20
30,24,25,18,19,20,20,17,23,12,18
30,31,24,17,23,20,20,18,22,17,17
28,29,26,19,22,22,22,17,19,14,26
32,26,24,19,17,19,17,18,18,14,22
30,26,23,21,22,18,18,19,17,18,20
27,28,22,19,22,18,17,16,20,15,21
32,25,27,17,19,17,14,19,22,17,22
30,30,23,17,20,21,19,17,18,16,22
29,27,25,20,20,20,22,20,21,16,19
31,27,26,21,20,19,14,19,19,17,22
33,30,24,22,23,20,20,18,19,17,20
30,25,20,18,19,19,21,20,19,15,20
32,30,26,18,17,17,18,17,21,14,21
30,26,22,18,16,18,21,17,18,16,23
31,29,26,16,21,19,20,19,19,17,22
31,27,24,18,23,20,21,21,19,14,18
31,25,26,17,19,22,21,21,21,15,18
32,27,25,19,21,21,19,20,18,14,21
28,24,23,21,19,21,21,17,19,17,21
28,28,21,16,16,19,21,18,18,16,18
30,30,24,18,20,20,18,20,18,17,19
32,22,24,18,16,18,15,17,18,14,23
32,28,24,18,20,16,16,18,20,15,23
27,30,24,17,19,19,18,17,19,15,23
29,29,24,17,19,17,20,16,13,16,19
29,30,19,17,20,21,20,19,18,16,19
26,26,22,19,17,21,19,18,20,16,16
28,27,26,15,19,19,22,18,18,15,20
31,28,27,19,19,19,21,23,20,16,23
31,25,22,19,19,18,20,18,20,19,20
32,28,24,17,21,17,18,19,22,17,24
29,26,24,15,20,19,20,18,20,17,22
30,27,25,18,19,17,18,18,18,16,20
30,27,26,19,19,24,18,15,18,18,21
34,26,25,20,17,19,18,20,20,17,21
30,27,23,20,20,20,17,20,18,17,19
29,28,21,17,17,20,21,15,18,16,20
31,30,24,19,22,19,20,20,18,15,16
30,31,24,15,24,19,21,21,17,14,24
27,23,25,20,20,18,22,17,20,16,20
31,26,22,20,20,20,20,17,18,17,21
29,23,23,19,20,17,15,20,19,16,21
30,25,19,20,22,19,20,19,19,17,18
27,24,23,17,19,20,24,18,20,15,22
28,27,25,18,22,20,16,18,19,15,23
29,29,22,17,18,22,18,20,18,15,23
28,24,21,18,22,19,19,19,20,14,21
28,26,21,21,22,17,21,20,17,13,21
29,27,25,19,16,18,21,18,18,16,21
32,28,24,14,18,23,20,19,17,16,21
32,24,27,18,19,23,20,21,19,14,23
29,34,23,19,22,22,19,20,19,16,18
29,25,24,16,16,18,20,21,18,17,18
28,25,22,16,23,24,19,20,21,16,23
31,29,20,22,18,20,22,21,19,17,19
30,27,25,19,19,20,19,20,19,17,23
30,27,22,22,19,16,20,22,19,18,21
29,26,23,16,19,19,19,18,16,16,17
33,26,27,17,19,20,16,19,18,16,22
27,24,26,16,15,21,20,18,22,17,24
32,29,27,19,18,20,19,20,19,16,20
28,27,23,20,17,19,20,18,17,15,20
28,27,23,19,24,21,24,17,20,15,19
30,28,19,19,21,20,20,20,17,14,26
28,26,22,21,18,21,23,20,19,14,20
27,26,21,17,21,20,19,18,17,15,19
26,27,23,17,21,22,20,19,22,15,19
30,24,22,18,20,19,20,16,19,17,16
30,28,27,19,20,19,18,16,18,13,18
32,29,21,22,19,19,17,20,20,17,17
30,26,24,19,22,21,20,16,20,17,18
28,26,24,16,20,21,21,19,20,15,16
30,25,21,20,19,18,20,18,21,18,20
26,24,25,19,20,19,21,20,22,14,20
27,21,24,18,20,18,19,19,19,16,23
34,29,25,20,18,19,23,20,17,15,21
31,23,21,20,20,19,18,17,23,15,22
31,24,25,18,19,21,19,20,18,18,20
27,25,22,20,20,16,21,18,17,17,19
31,26,23,17,21,19,20,16,17,16,19
27,27,21,20,22,20,22,21,18,16,20
28,29,22,20,20,20,19,20,17,17,19
35,30,23,20,19,20,19,18,21,17,21
33,26,23,18,20,20,20,20,21,15,16
31,26,25,17,18,20,20,17,20,19,24
33,24,23,19,19,21,16,19,15,15,18
30,28,22,17,17,19,21,19,21,16,21
31,29,25,18,20,21,18,21,18,15,23
30,28,24,20,17,21,15,16,19,17,23
27,26,24,19,19,21,20,19,17,15,24
33,29,22,16,20,19,22,20,20,16,19
31,28,24,17,19,20,20,19,20,18,23
31,30,19,20,20,18,17,18,18,13,23
31,23,26,20,17,19,22,19,20,14,22
31,25,23,18,21,23,16,18,20,15,18
28,28,25,16,22,23,21,18,19,18,22
33,26,23,17,17,19,20,17,18,14,21
30,23,22,16,16,17,22,20,19,16,21
29,25,23,20,20,20,21,19,18,15,18
31,27,22,18,18,20,20,19,19,13,23
30,29,23,18,20,20,20,18,18,17,21
30,25,22,17,22,20,20,21,17,17,21
