iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11
29,27,22,18,18,20,22,15,22,14,22
29,26,24,17,19,19,20,18,21,17,17
27,24,20,19,20,20,20,20,17,18,25
25,26,20,17,21,20,23,20,18,17,21
30,25,20,19,19,19,20,20,22,16,22
26,26,24,16,22,20,21,18,20,13,22
32,25,21,20,14,15,22,16,21,16,17
29,27,24,20,18,17,19,17,18,16,21
31,23,22,15,20,21,17,22,19,13,21
28,24,23,17,21,22,17,19,16,18,21
29,28,26,17,20,19,21,19,18,16,23
29,26,24,18,20,18,22,20,16,16,18
32,26,22,20,20,21,22,19,18,17,24
30,28,24,16,19,21,21,20,18,16,19
29,30,20,17,21,19,21,16,21,20,21
30,30,25,13,19,20,21,20,20,16,19
27,28,24,16,18,17,20,19,17,14,22
30,29,24,18,22,18,20,15,18,14,20
31,27,21,16,19,19,18,17,15,18,22
30,31,24,18,21,22,20,17,17,17,18
32,24,21,19,22,20,24,20,20,16,21
27,28,18,18,19,22,21,18,20,18,17
30,29,25,20,20,21,23,18,20,17,20
29,26,20,17,21,19,21,17,22,16,20
29,26,22,20,19,21,23,18,14,18,22
29,27,25,20,16,19,21,18,18,16,23
33,28,23,16,19,19,19,19,17,16,19
30,22,21,19,19,22,19,16,18,14,22
30,24,24,20,23,20,19,17,19,15,20
29,25,20,15,19,18,21,20,21,17,19
29,27,22,20,18,22,20,17,18,16,20
29,24,25,15,17,21,18,18,20,15,22
33,25,25,18,22,17,20,17,21,17,20
31,26,24,20,18,17,17,18,18,17,16
28,28,23,17,22,21,17,20,16,15,22
27,25,25,18,20,19,20,21,19,15,22
27,30,27,17,19,22,22,16,21,18,19
32,32,22,16,21,19,21,14,22,15,22
31,24,20,18,18,18,19,18,20,16,23
31,27,24,16,20,18,19,18,18,14,23
31,26,23,19,18,18,20,16,17,17,21
32,28,23,18,23,20,19,18,21,15,18
29,30,22,18,16,23,17,17,16,18,18
29,29,25,18,18,20,19,20,19,16,24
30,20,23,20,21,20,24,18,16,13,18
34,26,23,20,18,16,20,20,19,14,20
29,26,24,22,19,20,17,19,20,21,23
30,25,24,19,19,22,18,17,21,18,24
28,27,20,19,21,18,21,15,18,16,20
28,27,23,14,18,21,19,22,20,16,22
28,25,24,17,21,18,20,18,18,17,19
31,28,21,18,19,22,18,18,23,13,27
27,31,22,18,20,20,20,18,21,16,22
30,27,27,17,19,20,21,19,20,17,20
27,27,22,19,20,16,20,20,18,15,21
30,29,23,22,18,19,19,19,22,16,17
32,28,23,20,21,19,21,20,17,18,23
32,28,22,17,18,18,23,17,14,18,21
28,26,20,20,17,23,22,17,18,16,20
28,25,18,19,19,21,19,16,16,19,18
33,25,23,19,18,21,22,18,18,16,22
29,26,20,19,22,21,19,19,18,16,21
29,32,23,19,22,18,19,20,19,15,21
31,26,23,19,17,20,22,19,20,16,22
32,30,23,18,19,18,18,19,19,18,21
30,22,23,17,21,22,20,19,21,16,19
29,24,23,19,19,18,20,21,17,17,24
28,27,20,19,22,18,24,18,22,15,19
29,31,21,19,18,16,17,18,19,18,23
34,27,20,20,16,18,15,20,19,17,20
33,27,23,21,21,24,20,18,17,16,21
25,24,21,17,19,20,20,20,21,15,23
27,27,21,18,20,22,17,19,19,14,22
31,28,26,19,19,22,20,18,17,15,21
29,24,23,20,17,21,25,18,18,16,20
26,26,23,15,18,18,22,17,21,13,20
31,28,23,21,21,19,21,18,20,16,21
32,23,19,20,19,20,19,16,21,15,20
29,25,22,18,19,20,21,18,18,17,20
26,26,19,19,18,20,18,18,20,14,21
33,28,23,20,22,21,17,20,19,17,22
34,27,25,20,18,23,20,19,20,14,18
29,29,23,18,24,21,14,19,18,14,21
