iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11
30,25,25,20,20,20,18,19,20,18,18
29,30,26,22,20,15,18,20,19,16,22
31,25,23,20,22,18,17,22,18,17,20
33,32,21,24,19,20,18,20,19,17,16
33,29,23,21,19,18,22,18,19,17,17
30,23,24,21,21,21,18,19,18,18,19
33,26,25,22,21,21,19,22,20,21,19
30,25,22,25,19,19,19,19,22,19,18
31,30,21,22,19,19,21,25,19,19,21
31,29,23,22,21,18,19,21,20,17,17
32,26,21,20,22,19,21,21,18,16,21
31,28,26,22,23,19,18,20,19,17,19
30,27,25,22,19,16,17,16,20,19,20
34,30,21,24,18,20,16,17,20,21,18
34,24,26,21,23,19,21,22,17,18,19
26,27,23,21,20,21,23,21,21,21,19
30,29,25,26,22,20,20,21,22,16,19
30,27,22,19,21,19,18,21,19,16,16
34,26,23,24,18,20,19,21,18,23,19
34,31,21,22,20,17,19,20,19,19,17
32,29,21,23,22,21,21,19,22,19,20
34,25,23,22,19,19,17,19,19,18,19
32,28,22,22,20,21,21,18,21,18,16
31,29,23,23,20,17,19,21,19,16,20
30,28,24,21,18,19,19,19,18,16,18
28,25,25,22,16,19,18,18,18,19,21
32,30,22,21,21,20,18,18,20,17,23
33,27,25,23,20,21,21,18,20,17,18
29,29,22,23,18,17,21,23,20,15,18
31,28,24,21,19,20,21,18,22,19,21
33,25,23,24,18,21,19,19,22,21,21
34,23,24,21,21,20,19,19,19,17,18
32,24,23,21,18,21,17,21,23,20,18
31,27,24,24,24,19,18,22,19,21,19
30,30,23,23,21,22,19,20,19,18,20
30,28,23,22,21,19,18,20,20,19,17
32,26,22,22,20,19,20,20,21,19,21
34,26,24,21,18,20,19,21,18,18,16
31,27,21,23,21,21,19,19,19,16,18
33,30,20,21,22,18,18,19,21,21,18
35,26,24,23,17,19,18,22,18,19,20
31,24,22,25,19,19,20,19,21,21,18
28,25,23,28,22,18,19,19,19,19,17
31,28,21,25,19,20,17,20,19,17,22
30,30,22,22,20,20,19,20,20,19,17
30,32,25,23,19,19,19,22,19,16,21
32,24,24,25,17,17,17,24,18,16,17
27,23,24,25,21,21,20,21,19,17,17
30,30,22,25,19,18,20,20,22,21,19
31,29,24,24,24,20,21,19,19,23,21
36,25,27,21,19,18,19,20,17,20,14
32,25,23,22,20,18,18,20,18,17,21
31,30,22,21,23,20,23,18,18,18,20
30,24,22,22,20,19,19,22,17,20,20
30,25,22,18,19,16,17,20,19,19,18
30,27,22,18,21,17,20,20,19,20,21
28,26,23,25,20,22,17,19,16,15,20
34,28,23,19,20,20,19,18,20,21,17
31,28,23,23,16,19,18,18,20,20,20
31,26,22,21,22,20,18,22,23,20,20
29,27,24,23,22,19,19,18,19,19,20
31,25,24,22,22,18,20,22,16,18,19
31,29,23,22,20,18,16,21,18,21,20
30,30,22,20,19,21,19,21,23,18,20
32,26,23,22,24,16,21,18,17,18,17
34,30,22,21,21,18,23,20,19,20,20
30,29,20,23,22,20,19,20,18,19,19
33,29,24,23,21,19,19,22,23,18,17
31,28,23,24,20,21,19,18,21,18,17
27,25,23,22,21,20,23,20,22,19,18
29,27,24,21,19,20,23,23,22,21,18
30,31,25,25,23,19,22,19,19,21,17
31,26,23,24,21,20,17,20,20,17,16
29,26,26,23,21,21,17,19,20,19,19
29,27,23,21,23,18,18,18,20,16,18
27,26,22,24,23,20,19,18,17,18,19
33,28,24,21,18,19,20,19,20,19,18
34,29,23,21,22,19,19,19,21,19,17
31,26,22,22,19,20,20,19,18,17,18
28,27,24,23,20,15,18,21,20,18,18
29,32,21,19,18,16,21,17,19,19,16
31,29,26,21,21,23,20,22,22,18,18
33,31,26,24,22,19,19,19,19,20,18
34,28,24,24,20,20,19,19,17,17,17
36,25,24,23,20,20,18,22,21,18,20
31,27,26,20,21,18,20,22,18,19,16
31,27,22,22,21,22,20,18,20,18,17
