iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11
25,23,24,23,24,24,26,22,20,20,19
28,23,25,24,22,24,25,22,24,27,25
28,23,27,24,23,24,26,23,24,21,24
24,21,27,26,27,27,23,22,28,26,22
27,23,24,22,23,23,26,22,21,23,21
26,21,27,22,20,27,24,26,25,25,23
28,23,26,21,20,21,20,23,22,23,24
29,22,23,27,24,26,20,22,22,26,21
29,27,25,22,21,25,26,25,26,23,22
26,25,25,21,25,24,24,27,28,24,24
25,24,22,25,24,24,21,23,24,25,23
27,27,25,25,27,21,25,20,25,25,20
27,25,26,23,23,22,26,25,22,25,22
27,22,27,21,23,31,23,25,24,25,27
25,25,25,24,26,20,22,23,24,19,20
28,24,27,25,23,27,23,20,24,23,24
27,22,28,26,23,26,25,24,21,22,24
28,23,23,22,21,21,23,22,24,21,20
28,24,27,22,21,28,21,21,24,23,20
27,23,24,25,23,24,21,23,27,26,23
25,23,26,22,22,26,21,21,23,22,24
28,25,26,25,27,28,26,23,26,22,21
27,22,26,24,26,28,21,24,21,22,24
26,25,24,20,22,18,24,20,22,20,16
26,21,23,23,23,25,21,23,21,22,24
27,24,26,22,23,19,20,20,22,22,19
25,24,25,21,24,23,20,22,25,25,25
25,24,29,26,23,23,23,22,23,23,20
24,23,27,22,22,24,26,22,25,26,25
25,26,25,23,22,26,27,25,25,22,25
31,23,26,21,22,26,22,19,23,21,20
29,21,26,27,25,24,22,25,27,24,22
27,22,26,25,23,21,23,19,23,23,21
25,20,30,21,24,25,25,23,22,23,23
24,23,24,24,23,25,25,23,26,25,25
26,26,25,23,25,24,25,28,27,23,20
26,25,28,24,22,27,23,23,27,22,24
28,23,23,25,21,26,28,26,25,28,24
26,25,23,27,21,22,24,23,24,22,22
25,23,28,24,25,27,26,24,25,25,25
23,24,26,26,23,23,24,21,24,21,22
26,22,24,26,20,25,22,20,23,25,20
27,22,28,24,25,24,22,23,23,22,22
22,24,26,22,27,24,23,27,27,22,23
26,22,26,22,24,25,25,21,23,25,24
27,24,25,23,22,20,20,23,22,23,19
25,23,25,23,21,23,19,24,23,23,22
28,23,25,21,24,22,26,24,25,24,23
27,23,25,25,21,23,21,24,22,26,21
26,23,28,26,24,24,25,24,24,23,21
24,24,26,26,26,26,24,23,22,24,24
27,25,28,20,23,24,27,23,27,21,25
27,22,25,21,22,24,25,20,24,18,22
25,23,25,25,20,25,22,24,24,21,23
25,24,22,24,21,24,24,24,25,22,21
27,22,24,22,21,21,19,21,21,21,23
29,23,25,24,25,24,20,21,24,21,22
29,24,24,21,26,21,24,23,24,25,20
26,19,26,25,19,22,23,18,24,20,23
30,22,28,24,24,25,27,23,25,22,23
26,27,27,25,23,26,21,18,23,24,26
26,21,25,26,24,27,27,24,28,23,23
30,22,24,21,21,18,21,23,18,22,23
26,24,23,25,24,24,22,25,27,21,22
26,22,24,25,20,26,25,23,27,24,22
30,24,24,25,20,22,20,20,23,22,25
26,25,25,21,24,27,25,23,27,27,19
27,22,23,27,23,25,21,23,25,25,21
28,24,26,23,23,23,23,22,22,23,26
26,22,25,23,24,22,22,24,26,23,22
26,22,24,24,24,25,17,24,21,23,21
25,23,27,25,24,23,24,22,27,24,23
27,21,26,24,24,27,26,24,25,24,24
27,24,30,23,23,26,24,24,27,25,22
28,23,24,21,24,24,25,24,23,24,25
27,23,28,24,25,24,23,23,23,22,23
28,21,24,24,25,24,21,19,21,23,19
24,23,24,26,23,24,22,27,23,25,26
27,22,28,23,22,21,20,21,20,19,24
31,25,29,23,25,22,23,20,24,20,21
25,23,26,24,28,25,26,27,23,25,25
28,27,24,25,21,20,24,21,23,23,24
26,21,27,21,20,25,20,20,25,21,20
29,23,28,22,24,26,26,26,26,25,25
24,24,25,24,25,25,23,24,28,24,22
26,23,27,22,22,24,22,25,22,21,26
26,24,24,21,20,20,20,22,25,22,21
29,25,27,23,23,25,22,22,26,23,19
24,25,25,23,23,25,19,25,25,22,21
26,19,29,27,21,21,24,23,23,25,22
25,25,26,20,29,24,27,25,28,26,19
29,24,26,22,18,25,19,22,23,22,24
26,25,26,22,23,25,27,24,24,25,22
25,21,27,23,20,21,19,20,20,23,21
24,23,28,26,26,27,29,25,24,23,22
27,20,27,21,25,26,26,23,30,23,26
23,25,25,24,21,27,24,23,24,24,22
25,26,25,20,19,25,23,21,21,24,24
23,24,24,25,23,27,22,26,23,27,23
27,22,26,22,21,21,23,22,23,24,22
29,22,26,23,22,23,25,22,24,22,20
27,20,26,21,24,21,21,23,22,23,23
26,22,23,25,22,22,21,23,24,23,23
24,21,24,22,26,29,23,26,22,25,26
25,23,24,25,22,22,24,21,21,22,23
26,22,24,21,20,21,22,20,23,22,21
28,25,29,25,22,21,25,25,23,24,23
26,24,22,23,24,20,23,23,25,22,23
23,24,27,25,19,22,22,20,23,21,21
29,23,26,23,22,23,23,21,21,23,24
25,24,22,23,25,24,20,28,24,24,24
27,21,27,25,23,20,23,21,22,24,24
28,26,24,24,21,23,24,20,24,23,21
26,19,26,24,21,21,20,19,21,21,21
23,26,22,25,21,24,22,24,24,25,25
26,24,23,25,24,22,24,22,26,26,21
28,23,27,22,26,23,27,23,27,26,24
26,24,26,24,21,26,26,22,23,25,24
25,22,26,26,23,23,22,23,26,23,24
27,25,28,20,23,24,23,17,20,21,24
27,23,26,26,25,27,23,25,24,26,22
28,21,24,25,23,24,21,22,28,23,19
25,23,23,25,22,23,22,22,23,21,22
26,24,24,23,23,24,23,22,26,26,25
27,24,26,20,24,24,25,25,24,21,24
25,26,25,25,24,21,23,22,22,23,22
24,25,26,26,26,27,25,23,24,28,22
27,23,24,22,19,21,24,23,24,24,22
28,22,24,24,26,26,20,25,24,25,20
27,27,23,24,21,23,23,21,26,27,22
28,24,25,29,25,21,24,23,23,21,21
30,24,23,27,26,26,26,23,24,26,24
26,27,26,22,22,21,23,23,21,22,24
26,24,25,25,24,24,26,24,24,22,20
25,23,24,28,24,24,24,23,24,25,21
26,24,25,21,26,25,23,23,21,22,22
31,26,25,23,26,24,28,22,22,24,18
27,21,23,23,22,24,22,22,21,22,22
27,25,23,26,22,21,21,22,21,19,17
26,21,22,22,24,18,25,23,24,23,20
24,25,30,26,25,22,25,24,25,26,21
28,23,26,21,22,22,20,21,23,22,19
31,24,23,22,20,22,21,21,19,21,21
28,21,27,22,24,27,22,23,22,23,25
27,24,28,27,22,24,27,24,26,23,19
26,25,26,22,22,24,21,23,20,24,23
26,26,25,25,23,23,21,20,28,25,20
29,24,27,22,24,22,27,25,23,22,23
29,22,27,23,21,27,20,21,22,23,23
24,22,24,22,23,27,27,25,22,24,25
26,23,25,21,26,28,26,25,24,28,21
28,22,27,20,22,25,23,24,24,20,19
26,23,25,22,24,23,21,23,26,23,22
26,28,25,22,25,22,25,25,29,24,19
25,23,24,26,25,25,22,24,24,26,20
28,24,27,18,25,28,25,23,25,22,24
25,25,23,24,23,23,24,21,26,23,24
23,24,25,21,23,22,21,22,22,19,25
26,22,27,20,21,24,23,24,24,21,24
27,22,25,21,24,30,28,23,26,24,23
27,25,26,26,22,24,23,25,25,28,25
27,23,21,25,22,26,25,23,24,25,19
27,22,23,25,22,24,24,25,23,21,22
28,21,22,22,21,19,22,21,23,23,21
29,23,23,26,23,22,22,21,21,21,22
26,23,21,21,17,20,17,21,19,21,21
25,22,24,24,22,27,23,24,26,25,20
28,24,23,23,22,22,22,23,21,20,21
28,22,25,25,24,24,22,22,24,25,23
25,24,25,20,25,23,21,25,24,21,23
27,21,30,20,24,26,23,26,24,20,25
27,25,27,22,20,22,23,22,26,22,22
26,24,28,24,23,23,26,25,26,28,23
25,27,23,23,22,19,19,19,22,23,19
23,23,27,21,24,24,25,22,24,24,25
27,19,24,25,21,23,23,22,25,25,21
26,25,29,21,23,23,22,22,21,21,22
28,27,26,24,22,19,19,21,22,20,20
28,24,29,25,23,26,24,25,23,21,22
28,22,24,23,21,21,21,23,24,21,22
26,21,24,25,24,29,26,25,27,25,20
26,23,24,24,19,24,22,21,24,21,22
30,24,24,24,24,25,25,25,25,28,22
29,22,27,21,21,22,21,23,23,21,19
24,22,24,24,19,25,21,21,22,21,22
28,23,26,24,22,23,28,21,24,25,26
26,24,25,25,23,23,19,21,23,21,22
27,23,29,23,24,27,20,22,22,25,21
26,24,26,25,21,22,20,23,27,22,26
24,26,29,21,24,25,22,23,22,22,22
28,21,26,27,23,21,23,21,19,21,23
25,23,28,21,25,23,26,21,30,23,22
27,23,28,24,26,23,25,21,28,26,23
25,23,25,24,21,28,25,25,23,23,25
28,22,22,21,22,19,22,21,22,21,20
30,24,26,26,26,22,21,24,25,23,20
27,21,26,23,26,26,23,22,22,24,23
27,23,25,22,23,21,21,21,24,23,24
26,23,24,23,22,25,22,24,21,28,22
25,25,27,26,23,24,22,23,24,25,25
27,23,28,26,23,24,22,24,20,24,25
26,24,22,24,22,20,22,23,21,21,17
27,20,23,21,21,23,24,22,24,22,22
27,21,27,20,23,24,25,26,24,25,22
26,25,28,21,26,25,26,27,21,27,23
30,23,27,26,27,22,23,24,24,27,20
31,24,27,25,26,25,24,21,21,26,22
25,24,23,25,27,20,25,22,26,21,24
27,20,29,22,21,25,24,23,24,23,22
28,24,25,21,25,20,24,24,27,22,25
27,24,26,23,23,21,19,23,22,22,26
28,25,26,23,22,22,21,20,21,18,25
25,23,27,26,23,24,22,23,25,27,23
27,22,26,26,23,24,21,22,24,21,22
29,22,28,24,22,24,21,21,27,25,23
28,24,23,25,25,23,21,24,25,26,23
33,22,23,26,25,22,23,22,23,25,22
29,25,26,26,25,22,25,24,23,22,24
25,20,26,25,24,20,25,22,24,25,25
24,25,26,26,22,23,22,23,23,24,25
27,22,25,24,26,26,25,25,24,25,22
29,20,24,24,23,24,26,22,22,23,21
29,27,27,23,24,25,23,23,21,25,26
30,20,26,26,25,22,23,21,24,26,23
24,26,24,23,23,24,22,24,23,23,18
26,22,21,24,23,19,23,20,26,23,18
23,22,25,21,23,25,26,21,23,21,18
26,27,24,24,21,24,22,24,25,25,21
24,24,25,23,23,25,24,25,24,23,25
29,25,29,21,23,25,22,24,21,22,24
29,20,23,24,25,24,21,22,22,21,21
25,22,29,22,21,22,20,23,22,24,21
27,29,24,24,19,23,20,21,23,21,24
23,20,27,19,21,24,21,22,24,20,25
28,23,27,22,21,23,25,21,24,19,25
26,19,25,24,20,24,24,22,25,26,22
24,22,24,22,22,21,21,25,25,23,18
28,23,28,24,22,19,21,18,20,23,20
28,22,25,24,24,27,25,25,25,25,25
29,22,24,26,22,24,21,20,26,25,25
26,25,29,20,26,26,23,23,20,22,21
31,22,22,25,24,25,22,24,24,22,20
27,21,27,22,24,21,24,21,21,23,23
25,21,24,23,25,24,24,23,25,23,21
28,20,25,22,25,23,25,24,24,25,20
28,25,23,24,22,20,18,22,18,19,20
28,23,27,24,23,26,25,22,25,21,21
28,21,23,23,22,23,23,24,21,23,21
