i,N,boot,entropy.cor.r,entropy.cor.sp,peaks_splithalf,peaks_spearmanbrown,jsd
1,50,1,0.05063013430462921,-0.009111640951564104,0.091699403897881,0.16799387005336988,0.08720376197743515
1,100,1,0.5628110585902865,0.34545454545454546,0.24400945720648876,0.39229518038300004,0.04136806531515566
1,150,1,0.6745807966331889,0.35454545454545455,0.24278244671746343,0.3907078786938452,0.04569583325779619
1,200,1,0.7532905704481202,0.6090909090909091,0.5761897075213726,0.7311172059706648,0.025786923844669664
1,250,1,0.946246334599254,0.8454545454545456,0.7132134281828625,0.8326031263242428,0.01670997178672944
1,300,1,0.9107644897649722,0.8727272727272727,0.6274926988858646,0.7711158388795579,0.018190557653422482
1,350,1,0.9366726825020301,0.8,0.6776944135885679,0.8078877870720065,0.01182757484921934
1,400,1,0.9700602439592323,0.9727272727272727,0.6523684936521643,0.7896162341007364,0.010891117512377362
1,450,1,0.9369473123045112,0.8818181818181817,0.48396490218469757,0.6522592299483674,0.011926504427492162
1,500,1,0.9714204553056144,0.9363636363636364,0.792117008910675,0.884001440723067,0.008246635632482659
1,550,1,0.9865775688263382,0.990909090909091,0.7127835948808771,0.83231016108658,0.014373691797727215
1,600,1,0.9713652813960314,0.9090909090909091,0.6461692462034305,0.7850580949603989,0.009107030158796926
2,50,2,0.6207097901944054,0.37443312728132294,0.4881937770325327,0.6560889913220764,0.07344313601250838
2,100,2,0.718403116563579,0.7272727272727273,0.39380110539144303,0.56507503670094406,0.031027654152884332
2,150,2,0.8411677656958755,0.7090909090909091,0.268150385072575,0.42289997815555447,0.039015301323683915
2,200,2,0.8501757014351713,0.8181818181818182,0.05049790111291885,0.09614088911442915,0.022643144667970076
2,250,2,0.8734260116477411,0.5818181818181819,0.43304137496349004,0.6043668836491518,0.02823728654783269
2,300,2,0.9491528766777304,0.8363636363636363,0.6403032441947851,0.7807132570893696,0.0161936844551779
2,350,2,0.9181257454469987,0.8181818181818182,0.5005541919680594,0.6671590998143893,0.02421737272216625
2,400,2,0.8481090384042236,0.8181818181818182,0.564047449320204,0.721266416265518,0.01609303012411622
2,450,2,0.9746952362892521,0.9454545454545454,0.5961804975308028,0.747008873311081,0.013784301593340032
2,500,2,0.9820721351137093,0.9727272727272727,0.5213825666780723,0.6854062588826784,0.011258151930134828
2,550,2,0.9900205453594426,0.9818181818181819,0.5554173469213723,0.7141714704683041,0.01210206713108714
2,600,2,0.9775396264243665,0.9272727272727272,0.7009983944494559,0.8242199366406111,0.009501488549360724
3,50,3,0.4949080649906959,0.4289035950872333,0.2922661695674627,0.4523312247124565,0.1715704617546902
3,100,3,0.21784114416487152,0.2,0.3433519644493926,0.5111869019227947,0.06003559552694109
3,150,3,0.8020582560135078,0.7909090909090909,0.21445347479956992,0.35316869563070374,0.040871193028289426
3,200,3,0.8666907383095439,0.7636363636363637,0.3296452283050124,0.49583937322173255,0.031546447349561337
3,250,3,0.9077566264814633,0.8181818181818182,0.5643441102943886,0.7215089142863671,0.016623618351761845
3,300,3,0.9347413684344299,0.9090909090909091,0.5969353765697342,0.7476011682476087,0.013283481911096257
3,350,3,0.9316836722354765,0.7454545454545454,0.6243439944240409,0.7687337122767772,0.016561719780284173
3,400,3,0.9720546599081157,0.890909090909091,0.48630207594430674,0.6543785194343347,0.01483912044525451
3,450,3,0.9821352184517326,0.9818181818181819,0.6349754641448329,0.7767400527652005,0.014785183440867582
3,500,3,0.9522305184362083,0.9363636363636364,0.7595348234106319,0.8633359377774307,0.008145953206746857
3,550,3,0.9636702169982013,0.9272727272727272,0.6923508402716568,0.8182119496693964,0.014638504512820824
3,600,3,0.9828770168523835,0.9818181818181819,0.7279178479798967,0.8425375648858574,0.008728958202374659
4,50,4,0.10855361045339344,0.009132515299544463,0.1911688399921258,0.32097689861227313,0.08316870037004065
4,100,4,0.4508287909128803,0.3052399718773975,0.48576839182194154,0.6538951757161319,0.030023482055247068
4,150,4,0.8732387914455344,0.7636363636363637,0.23776688546873143,0.38418685822038484,0.04959333750991574
4,200,4,0.7617340093257106,0.43636363636363634,0.16581474772020016,0.28446157169388686,0.043994450905085775
4,250,4,0.8580573044435735,0.6272727272727273,0.4511035377158844,0.6217385954774058,0.015918472566754632
4,300,4,0.9219909123210935,0.8636363636363636,0.4891896806652703,0.6569877390591816,0.015571306710254359
4,350,4,0.8853015803631136,0.6181818181818182,0.36298334912875907,0.5326306434495827,0.022729394208163764
4,400,4,0.9219120128316204,0.8818181818181817,0.5286384139757417,0.6916461200276115,0.013924785209416968
4,450,4,0.9573954518472948,0.9363636363636364,0.6288114350687121,0.7721107815554911,0.012702360965823122
4,500,4,0.973277426685786,0.8727272727272727,0.633291470756395,0.775478819421142,0.008905658963594841
4,550,4,0.9540112446763899,0.8818181818181817,0.5451458329737173,0.7056237946479841,0.0126271138323211
4,600,4,0.9690422884924063,0.8636363636363636,0.7772523664191978,0.8746674148311343,0.008793416400197762
5,50,5,0.4688134145329634,0.25354627641855493,0.20297036752105216,0.33744865709254496,0.1117172361533562
5,100,5,0.7957074530125555,0.8181818181818182,0.36341813347860774,0.5330985771054508,0.05550653324131975
5,150,5,0.7879851749765895,0.7727272727272727,0.36487250482366335,0.5346616677149688,0.03485069478818637
5,200,5,0.7716815455859457,0.8545454545454546,0.10140815413409837,0.18414273356060837,0.03992909554852149
5,250,5,0.9132820446263051,0.8727272727272727,0.47726980861254764,0.6461511713433034,0.019907363780049384
5,300,5,0.9286807650930109,0.9727272727272727,0.4022972863674738,0.5737689009005916,0.0221085067908044
5,350,5,0.9373574317229126,0.7818181818181817,0.7218912883962649,0.838486486645298,0.013668702442255239
5,400,5,0.9247830491288671,0.7909090909090909,0.48384828553604947,0.6521533100821776,0.02222528183755733
5,450,5,0.9744487550445753,0.9363636363636364,0.645347482258427,0.7844512958109177,0.011533533091241447
5,500,5,0.9619719777361176,0.8363636363636363,0.5537471074342981,0.712789236787318,0.011105452960475989
5,550,5,0.9838658663783201,0.9454545454545454,0.452369504759383,0.6229399657276995,0.01302304750931986
5,600,5,0.957829743700644,0.8545454545454546,0.6180826607363219,0.763969203470802,0.012777424259065738
6,50,6,0.8255265384293924,0.7517103785040385,0.37161053222054763,0.5418601322912482,0.06247336205324684
6,100,6,0.5053606803268962,0.6833730713673077,0.3334747321455804,0.5001590567959464,0.04775722849234151
6,150,6,0.688141019733904,0.4636363636363636,0.5696840718613498,0.7258582565417916,0.03239270715065101
6,200,6,0.6914577969742393,0.6272727272727273,0.577530946297032,0.732196027789732,0.03550886630582549
6,250,6,0.9340647278493085,0.8181818181818182,0.3334913074623945,0.5001776998412105,0.027227923682086423
6,300,6,0.9207517143159184,0.8,0.5043004184073221,0.6704783329665628,0.02026460846373216
6,350,6,0.8783810555537236,0.7818181818181817,0.5234996338041822,0.6872330287300462,0.017923454190336807
6,400,6,0.9528838297844369,0.9,0.30542533454951093,0.4679322922056054,0.016536126657903508
6,450,6,0.9645079086925776,0.8636363636363636,0.6783858804704282,0.8083789173444264,0.012034911544905526
6,500,6,0.9813138919588711,0.9363636363636364,0.7272378628892372,0.8420818909941565,0.007870997179737688
6,550,6,0.9848371656609113,0.9090909090909091,0.6585979531417222,0.79416226445258,0.011450582489544723
6,600,6,0.9873701889876789,0.990909090909091,0.7290260360482743,0.8432794195678843,0.012936163943811675
7,50,7,0.2744741695647788,0.07289312761251283,0.22858262135519225,0.3721078540131935,0.11057733780030925
7,100,7,-0.03462820852134746,0.018181818181818184,0.3497500620835453,0.5182441874366766,0.05566390402594233
7,150,7,0.8630565376126873,0.7636363636363637,0.4140188922905355,0.5855917407438258,0.04662116345385712
7,200,7,0.819993556196547,0.6727272727272727,0.36520903629286094,0.5350228816014331,0.02430570653174887
7,250,7,0.9664686224832754,0.9454545454545454,0.5385878416429284,0.7001067174270866,0.01826087541977093
7,300,7,0.9244272000912528,0.8272727272727273,0.6482320474243783,0.7865786233647657,0.013330230446020008
7,350,7,0.9699532955962467,0.9,0.4983513305156176,0.6651995701757388,0.0170417809827969
7,400,7,0.9739011783942223,0.9090909090909091,0.5503340477268673,0.7099554428721717,0.012401811757862022
7,450,7,0.9603358331336843,0.9090909090909091,0.6330132294449916,0.7752701791156124,0.011231749887252455
7,500,7,0.9817552976266521,0.890909090909091,0.6614681615687428,0.7962453652367202,0.013973140014354388
7,550,7,0.9096881796084668,0.7636363636363637,0.6756659642835088,0.8064446956436381,0.013542225495588051
7,600,7,0.9871881932910315,0.9545454545454546,0.603405944275076,0.7526552417115866,0.012171929135744199
8,50,8,0.17882391743788884,0.18181818181818182,0.4542181399133789,0.6246905157439923,0.0644024518442387
8,100,8,0.6768418533108964,0.5,0.24417013278600888,0.39250280383961755,0.059485808007894825
8,150,8,0.812686528815534,0.7454545454545454,0.49063940466878053,0.658293888021564,0.04112474539789489
8,200,8,0.8303487569408928,0.9,0.42220708565950515,0.5937350332686882,0.0272280149972376
8,250,8,0.7419424695258052,0.509090909090909,0.45475935761182895,0.6252021755108333,0.024789739320426406
8,300,8,0.8970243226059557,0.8636363636363636,0.5362684586563073,0.6981442021212269,0.020118259074572736
8,350,8,0.9793092839022146,0.9363636363636364,0.5415042600681194,0.7025660247532372,0.022644967132142223
8,400,8,0.9214538664178152,0.8363636363636363,0.6271780252028726,0.7708781897108985,0.017744097903804715
8,450,8,0.9441505540998525,0.8090909090909091,0.5928079658128855,0.7443558527287343,0.009097758018783996
8,500,8,0.93155518561567,0.890909090909091,0.6459284759464952,0.7848803704244225,0.015244087120897873
8,550,8,0.9701670260038707,0.9727272727272727,0.666235411551443,0.7996894159524633,0.013015819031396423
8,600,8,0.9791152711573843,0.9272727272727272,0.6065676028961041,0.7551099646260332,0.008956320223284419
9,50,9,0.26240641507869333,0.16018348575867147,0.3027343197603027,0.4647675510936174,0.1873191350357652
9,100,9,0.3934837470022171,0.20501192141019234,0.06881150089426927,0.1287626505453862,0.05444514498658863
9,150,9,0.7798356607265192,0.8818181818181817,0.5788753076444642,0.7332755219385786,0.023619498187882983
9,200,9,0.6683113732537728,0.7363636363636363,0.628659016209529,0.7719958689359581,0.025422720107858517
9,250,9,0.9761190784354574,0.9272727272727272,0.33838184002063026,0.5056581461317711,0.02233144790320937
9,300,9,0.9303104380260083,0.7909090909090909,0.6321666095705155,0.7746349004613717,0.018131482773380447
9,350,9,0.9551280985230447,0.9454545454545454,0.5082907721956607,0.673995732872817,0.016682857609290787
9,400,9,0.9740021284769914,0.9727272727272727,0.6774253858104448,0.8076965944844671,0.01703202702851412
9,450,9,0.9780932895876909,0.9454545454545454,0.5138617300663874,0.6788753818935009,0.013208059775761484
9,500,9,0.9700118936276876,0.9090909090909091,0.6335930987131438,0.7757049160066288,0.013918747547993878
9,550,9,0.9785929719075621,0.9363636363636364,0.6038956283289695,0.7530360675128751,0.009328826814776764
9,600,9,0.9818294320332638,0.9727272727272727,0.6974602252748592,0.8217691523958081,0.010524161483371475
10,50,10,0.8619173436479045,0.8721552111064962,-0.07715213762336724,-0.1672044564846809,0.0945193995507912
10,100,10,0.7350447931348735,0.6909090909090909,0.661624137583224,0.7963583612182402,0.05475295501361738
10,150,10,0.5504564864356231,0.10909090909090909,0.26650245308965814,0.4208479066732481,0.058207416697452656
10,200,10,0.9566428931183389,0.9636363636363636,0.3347722119119184,0.5016169934080259,0.028875759195769617
10,250,10,0.9526657702346673,0.9090909090909091,0.37509587745558254,0.5455559624680769,0.01993767491418824
10,300,10,0.9749579304328544,0.9545454545454546,0.6490034685584389,0.7871462746234229,0.014375116959129717
10,350,10,0.9754244170249676,0.9636363636363636,0.5477894053821708,0.7078345458074949,0.016205140081399196
10,400,10,0.9501738159799399,0.8,0.25509061348688317,0.4064895566037139,0.017662546701547818
10,450,10,0.9356672529461942,0.6909090909090909,0.7732179601856273,0.8721070703622739,0.01044914965912045
10,500,10,0.9664497786921509,0.9363636363636364,0.6235704514850252,0.7681470809162193,0.009989059099367476
10,550,10,0.9438852592648205,0.8363636363636363,0.5522000769301852,0.711506313055056,0.014395763840423171
10,600,10,0.981731295819272,0.9454545454545454,0.7404222455288095,0.8508535758273301,0.010542536805624007
11,50,11,0.19390938994581963,0.05517605878460435,0.19274105593211166,0.32319010899056716,0.10919554551446356
11,100,11,0.600447309155006,0.4145796632961667,0.26569887798155956,0.4198453243559416,0.03247833069273561
11,150,11,0.911095293983212,0.9090909090909091,0.1467144646104823,0.2558866555508541,0.0577265044926487
11,200,11,0.8277670697158065,0.7363636363636363,0.42485096565884,0.5963444260465406,0.035398720711498674
11,250,11,0.8869983253351398,0.8,0.5362710092314947,0.6981463635114215,0.01531422025010526
11,300,11,0.9516042628464522,0.8181818181818182,0.3557485315979774,0.5248001724606967,0.024594203282836145
11,350,11,0.8956732957015593,0.9272727272727272,0.3278195196928194,0.4937712013281111,0.020777497664918425
11,400,11,0.9576226956492471,0.9545454545454546,0.5737616615894221,0.729159536152318,0.012931312034905287
11,450,11,0.9616888543116108,0.8545454545454546,0.6190344523126727,0.7646958363713967,0.011876317259755246
11,500,11,0.9807719269430855,0.9454545454545454,0.6680703381863877,0.8010097930435576,0.01113025529130469
11,550,11,0.9746615786154231,0.9363636363636364,0.6561619680763348,0.7923886440146672,0.010685701931402593
11,600,11,0.9890456631386443,0.9454545454545454,0.7127265400758528,0.8322712626900587,0.010999982974098975
12,50,12,0.5196426558663921,0.5785892004243205,0.2668279728417638,0.42125368015550224,0.10270029063873849
12,100,12,0.21798974400679277,0.18181818181818182,0.5888148379513075,0.7412000742774444,0.03804123926707345
12,150,12,0.8638149638713055,0.7272727272727273,0.10157180555407117,0.18441250046878668,0.05377900614730189
12,200,12,0.8575954399972218,0.4818181818181818,0.23779659736297817,0.38422564397023534,0.03724819086930268
12,250,12,0.9006726039910637,0.7545454545454546,0.40457138424826644,0.5760780673526181,0.01890016567748183
12,300,12,0.9216176832197256,0.9636363636363636,0.5752370423614359,0.7303498164302926,0.018826967467885126
12,350,12,0.9344175704404624,0.9363636363636364,0.6451494334179626,0.7843049638081814,0.01611874828910228
12,400,12,0.9667882814297172,0.9090909090909091,0.3409980245202405,0.508573492704789,0.020414836882166
12,450,12,0.9613323329215097,0.9454545454545454,0.4281138490389098,0.5995514283780965,0.018054148416580477
12,500,12,0.9764986387726853,0.890909090909091,0.5691151767645775,0.7253963063923188,0.01015930639874921
12,550,12,0.9450214298760743,0.890909090909091,0.7207051162672359,0.8376857945662155,0.012552019455137998
12,600,12,0.9688336168258,0.9,0.6585311933243955,0.7941137266214708,0.014824386430579182
13,50,13,0.37571526635970903,0.09196009797434058,0.1385850057139006,0.24343374454858,0.166568660658985
13,100,13,0.7033086070771525,0.5181818181818182,0.34679185651489153,0.5149895358177896,0.06049617835370695
13,150,13,0.7092369160754427,0.6272727272727273,0.3132309123416535,0.4770385914585638,0.039473928158133914
13,200,13,0.8966739503643509,0.7636363636363637,0.43873819275964143,0.6098930228829171,0.029008042260653094
13,250,13,0.9406905202668003,0.9,0.5602199331484903,0.7181294396335246,0.024382436865593344
13,300,13,0.9538705050396729,0.990909090909091,0.5717574379906609,0.7275390262782496,0.01691893213690568
13,350,13,0.8994440909058408,0.9272727272727272,0.596408507172238,0.7471878338066147,0.01922054309511778
13,400,13,0.9250282238952124,0.9545454545454546,0.5247779599294525,0.6883336114770869,0.01192765312673596
13,450,13,0.9495452339171953,0.8818181818181817,0.6976046842029886,0.8218694148225778,0.01197866560917146
13,500,13,0.9736851056046645,0.9363636363636364,0.5704324850095689,0.7264654678944612,0.014304195444659697
13,550,13,0.9903178813584614,0.9818181818181819,0.6586719522468669,0.7942160610536858,0.007770567834656907
13,600,13,0.9709423171255867,0.9363636363636364,0.6439034986802323,0.7833835735457397,0.009266478716982576
14,50,14,0.4166214974113318,0.2853881278538813,-0.2883171396738442,-0.8102405038719406,0.14184892693214618
14,100,14,0.6486510476335671,0.7289312761251283,0.23726823679602402,0.3835356469029602,0.03697320150386835
14,150,14,0.8469171641697107,0.8363636363636363,0.2715894522034285,0.4271653114656061,0.03681135294665535
14,200,14,0.8567818136880831,0.8181818181818182,0.16374255955412864,0.2814068424495264,0.03195061699279649
14,250,14,0.8542701703621963,0.7000000000000001,0.6653076897578989,0.7990207381491414,0.01432882831247043
14,300,14,0.985447177033677,0.9818181818181819,0.6015584388417745,0.7512163455949987,0.016093785056578214
14,350,14,0.9509494211316871,0.9272727272727272,0.5929498093963347,0.7444676610633945,0.012980367803004022
14,400,14,0.9864388985937211,0.9727272727272727,0.5860337797795226,0.7389928099274004,0.014769203530106972
14,450,14,0.9776116738421723,0.9272727272727272,0.5730169832639239,0.7285579105127589,0.012142858594514847
14,500,14,0.9853096200605723,0.990909090909091,0.5576118721573916,0.7159830791287738,0.009640609708339552
14,550,14,0.9805381818190683,0.9454545454545454,0.7210099055955623,0.8378916393814178,0.010467377238912164
