i,N,boot,peaks_splithalf,peaks_spearmanbrown,jsd
1,500,1,0.0505782226907313,0.09628644797374691,0.010776944149607288
1,1000,1,-0.056668494523225185,-0.12014545087113152,0.0037051314910155997
1,1500,1,0.06563636189013301,0.12318716634952837,0.005397611272670604
1,2000,1,0.16943128937415913,0.2897669848817422,0.0022316185017931386
1,2500,1,0.2010103797946137,0.33473545803823734,0.0015942386419656332
1,3000,1,-0.00891193215101544,-0.017984137717160738,0.0017453519620716444
1,3500,1,0.1630220531367364,0.28034215292316544,0.0013996850797102674
1,4000,1,0.37581032563171973,0.5463112445520598,8.275922102301456e-4
1,4500,1,0.25148671965267194,0.4019007404608618,0.0010890426778314259
1,5000,1,0.42972134864874173,0.6011260152964492,7.707589220906075e-4
1,5500,1,0.3645708893545349,0.5343377792955603,8.232998600584338e-4
1,6000,1,0.2873057413243235,0.4463675288649859,8.235641164903667e-4
1,6500,1,0.15692696560018682,0.2712824063509951,0.0010497964607999338
1,7000,1,0.37600036332249503,0.5465120116895947,6.539157978439549e-4
1,7500,1,0.3771774471918906,0.5477543187495084,5.252204282362432e-4
1,8000,1,0.5124543568055749,0.6776460453165936,5.492320204742244e-4
1,8500,1,0.5848800769013279,0.7380748681564019,4.2209632223255873e-4
1,9000,1,0.4914728067580503,0.6590436037869754,3.757278304530896e-4
1,9500,1,0.3942190837191435,0.5655052184016102,5.771329501017399e-4
1,10000,1,0.2824813821083621,0.44052317023732684,6.114058911469177e-4
1,10500,1,0.5028942330459542,0.6692343639202415,3.7356515501407966e-4
1,11000,1,0.15479919212119989,0.268097160402158,5.423520615063406e-4
1,11500,1,0.47864250547955156,0.6474080160766362,3.3909226417736855e-4
1,12000,1,0.5610245442797759,0.7187901642361695,2.9890219620095986e-4
1,12500,1,0.34372177137292287,0.5115966395658403,3.689314856019312e-4
1,13000,1,0.26993948959848113,0.4251218137705574,4.275202922626166e-4
1,13500,1,0.6527762715744667,0.7899148636162587,1.8983257291613236e-4
1,14000,1,0.5691886545156659,0.7254559901101852,3.497869003947175e-4
1,14500,1,0.41606948642992553,0.587639929279014,3.543415573948793e-4
1,15000,1,0.5367122552930726,0.6985201731090693,3.6379341536581765e-4
2,500,2,0.18645792739824402,0.31431022220420957,0.008727342620783372
2,1000,2,0.12789881874943723,0.22679129833870312,0.003774916161907354
2,1500,2,0.12955823346097653,0.22939628896158623,0.003262318978093988
2,2000,2,0.03447328158200947,0.06664895497211844,0.003935254467763577
2,2500,2,0.3490982377135493,0.5175282688163624,0.0012071935632134258
2,3000,2,0.3131036568785689,0.47689099826720477,0.0012709292811870887
2,3500,2,0.0839340293773222,0.15486925791145983,0.0013215823734172793
2,4000,2,0.4056128601496637,0.5771331091926347,0.0010466120793563047
2,4500,2,0.3062109011094966,0.4688536910071732,0.0014995698857349043
2,5000,2,0.3719614454535125,0.5422330877972417,8.072957292754859e-4
2,5500,2,0.48464364037636853,0.6528753799174429,6.038300322113081e-4
2,6000,2,0.1437337968384322,0.2513413474984276,0.0010899148358788065
