iteration,pitches,failed,reason,reference_pitch,target_pitches,response_pitches,target_intervals,response_intervals
0,,False,All good,58.986433233104655,"[62.32897503464483, 50.580885998002756, 61.02893547927572]","[63.08803006174781, 50.81243619319052, 61.00936073471263]","[-11.748089036642071, 10.44804948127296]","[-12.275593868557287, 10.196924541522108]"
1,,False,All good,61.69627294043189,"[63.08803006174781, 50.81243619319052, 61.00936073471263]","[63.531551340582574, 50.52910802473635, 60.343534131686276]","[-12.275593868557287, 10.196924541522108]","[-13.002443315846222, 9.814426106949924]"
2,,False,All good,60.29520078918033,"[63.531551340582574, 50.52910802473635, 60.343534131686276]","[62.92089439845763, 50.303002180897884, 59.69445566887135]","[-13.002443315846222, 9.814426106949924]","[-12.617892217559742, 9.391453487973465]"
3,,False,All good,61.86625634023829,"[62.92089439845763, 50.303002180897884, 59.69445566887135]","[64.57035645981934, 50.11868800192395, 59.20878184255718]","[-12.617892217559742, 9.391453487973465]","[-14.451668457895387, 9.09009384063323]"
4,,False,All good,61.36527851110896,"[64.57035645981934, 50.11868800192395, 59.20878184255718]","[63.47482636830836, 51.41199403765716, 59.31624794314675]","[-14.451668457895387, 9.09009384063323]","[-12.062832330651197, 7.90425390548959]"
5,,False,All good,62.88404482450312,"[63.47482636830836, 51.41199403765716, 59.31624794314675]","[60.76406792038214, 51.00130406312549, 60.98370798528879]","[-12.062832330651197, 7.90425390548959]","[-9.762763857256651, 9.9824039221633]"
6,,False,All good,61.498951244185825,"[60.76406792038214, 51.00130406312549, 60.98370798528879]","[60.77963447715381, 51.82722251573561, 61.221480077198606]","[-9.762763857256651, 9.9824039221633]","[-8.9524119614182, 9.394257561462993]"
7,,False,All good,59.22372448844112,"[60.77963447715381, 51.82722251573561, 61.221480077198606]","[60.44488502734486, 50.44725026242253, 58.92884648940273]","[-8.9524119614182, 9.394257561462993]","[-9.997634764922331, 8.481596226980201]"
8,,False,All good,61.39013750563831,"[60.44488502734486, 50.44725026242253, 58.92884648940273]","[59.98097264767927, 49.816842200092516, 59.095285850027615]","[-9.997634764922331, 8.481596226980201]","[-10.164130447586757, 9.278443649935099]"
9,,False,All good,61.794825913432135,"[59.98097264767927, 49.816842200092516, 59.095285850027615]","[61.891394318905746, 49.26878168140959, 59.537281716870915]","[-10.164130447586757, 9.278443649935099]","[-12.622612637496154, 10.268500035461322]"
10,,False,All good,62.3431300756084,"[61.891394318905746, 49.26878168140959, 59.537281716870915]","[61.58544279821527, 49.81745154942229, 59.361445199377854]","[-12.622612637496154, 10.268500035461322]","[-11.767991248792981, 9.543993649955567]"
11,,False,All good,59.23337344334182,"[61.58544279821527, 49.81745154942229, 59.361445199377854]","[61.45297844285775, 49.47152472924283, 59.80538236654595]","[-11.767991248792981, 9.543993649955567]","[-11.981453713614918, 10.333857637303119]"
12,,False,All good,62.79067600417173,"[61.45297844285775, 49.47152472924283, 59.80538236654595]","[60.82267703274603, 49.66452133580809, 60.436561739123086]","[-11.981453713614918, 10.333857637303119]","[-11.15815569693794, 10.772040403314996]"
13,,False,All good,59.74820941179011,"[60.82267703274603, 49.66452133580809, 60.436561739123086]","[60.536289669806656, 48.436411527005696, 60.891692818936946]","[-11.15815569693794, 10.772040403314996]","[-12.09987814280096, 12.45528129193125]"
14,,False,All good,63.29168324194931,"[60.536289669806656, 48.436411527005696, 60.891692818936946]","[62.567759688335016, 48.31363974342302, 61.236078403514846]","[-12.09987814280096, 12.45528129193125]","[-14.254119944911999, 12.922438660091828]"
15,,False,All good,62.706916512267085,"[62.567759688335016, 48.31363974342302, 61.236078403514846]","[63.07888130114102, 48.05145389085053, 59.22576431205041]","[-14.254119944911999, 12.922438660091828]","[-15.027427410290485, 11.174310421199877]"
16,,False,All good,58.9175217659344,"[63.07888130114102, 48.05145389085053, 59.22576431205041]","[63.42395491787715, 47.913409576584094, 60.15444589624163]","[-15.027427410290485, 11.174310421199877]","[-15.510545341293053, 12.241036319657539]"
17,,False,All good,62.144152353724245,"[63.42395491787715, 47.913409576584094, 60.15444589624163]","[63.495083298456954, 48.81878938578505, 59.55219845732951]","[-15.510545341293053, 12.241036319657539]","[-14.676293912671902, 10.733409071544457]"
18,,False,All good,60.658611500399566,"[63.495083298456954, 48.81878938578505, 59.55219845732951]","[62.51948969850568, 50.234898246041844, 59.42678738475882]","[-14.676293912671902, 10.733409071544457]","[-12.284591452463836, 9.191889138716974]"
19,,False,All good,60.43540547543919,"[62.51948969850568, 50.234898246041844, 59.42678738475882]","[63.049550328045555, 52.53745707336292, 59.30725879160483]","[-12.284591452463836, 9.191889138716974]","[-10.512093254682632, 6.769801718241908]"
20,,False,All good,59.52779658852064,"[63.049550328045555, 52.53745707336292, 59.30725879160483]","[61.43011318937724, 52.46105667943938, 58.386192254513]","[-10.512093254682632, 6.769801718241908]","[-8.969056509937857, 5.925135575073618]"
21,,False,All good,60.65058127290794,"[61.43011318937724, 52.46105667943938, 58.386192254513]","[60.72470907011941, 53.259413369825104, 58.940106722190315]","[-8.969056509937857, 5.925135575073618]","[-7.4652957002943054, 5.680693352365211]"
22,,False,All good,58.60097357727785,"[60.72470907011941, 53.259413369825104, 58.940106722190315]","[60.903628854309844, 52.565979565035946, 59.92634816224238]","[-7.4652957002943054, 5.680693352365211]","[-8.337649289273898, 7.360368597206431]"
23,,False,All good,61.571489982247435,"[60.903628854309844, 52.565979565035946, 59.92634816224238]","[60.34562358749761, 49.90508923516339, 58.51542208492717]","[-8.337649289273898, 7.360368597206431]","[-10.440534352334225, 8.610332849763779]"
24,,False,All good,59.14466748968247,"[60.34562358749761, 49.90508923516339, 58.51542208492717]","[59.50613211689935, 50.4173615407643, 58.33086283572159]","[-10.440534352334225, 8.610332849763779]","[-9.088770576135055, 7.9135012949572925]"
25,,False,All good,60.57308219831005,"[59.50613211689935, 50.4173615407643, 58.33086283572159]","[60.13366508177866, 51.027569350450776, 56.65753291863542]","[-9.088770576135055, 7.9135012949572925]","[-9.106095731327883, 5.6299635681846425]"
26,,False,All good,60.50290152964215,"[60.13366508177866, 51.027569350450776, 56.65753291863542]","[59.565418276147696, 49.73831959194027, 56.10468002731358]","[-9.106095731327883, 5.6299635681846425]","[-9.827098684207428, 6.366360435373309]"
27,,False,All good,60.887476659427186,"[59.565418276147696, 49.73831959194027, 56.10468002731358]","[60.98834658981481, 51.48707547953623, 56.97253518208653]","[-9.827098684207428, 6.366360435373309]","[-9.50127111027858, 5.485459702550301]"
28,,False,All good,59.771961842462986,"[60.98834658981481, 51.48707547953623, 56.97253518208653]","[62.30975378367231, 50.32827637610409, 56.725894723691965]","[-9.50127111027858, 5.485459702550301]","[-11.98147740756822, 6.397618347587873]"
29,,False,All good,60.23733402417085,"[62.30975378367231, 50.32827637610409, 56.725894723691965]","[61.56772090782643, 50.12853180557334, 56.99835971143234]","[-11.98147740756822, 6.397618347587873]","[-11.439189102253088, 6.869827905859005]"
30,,False,All good,58.87535333667727,"[61.56772090782643, 50.12853180557334, 56.99835971143234]","[61.75737599610934, 50.2054313444017, 55.569492300142535]","[-11.439189102253088, 6.869827905859005]","[-11.551944651707636, 5.3640609557408325]"
31,,False,All good,60.066434429086435,"[61.75737599610934, 50.2054313444017, 55.569492300142535]","[62.42180084659474, 50.60407045526139, 54.995149974392675]","[-11.551944651707636, 5.3640609557408325]","[-11.817730391333349, 4.3910795191312815]"
32,,False,All good,61.60444989757438,"[62.42180084659474, 50.60407045526139, 54.995149974392675]","[62.35475808214151, 48.530566888021575, 55.18933994991848]","[-11.817730391333349, 4.3910795191312815]","[-13.824191194119933, 6.658773061896902]"
33,,False,All good,59.543800140975726,"[62.35475808214151, 48.530566888021575, 55.18933994991848]","[62.74132341569398, 49.99394879903481, 55.99856962791614]","[-13.824191194119933, 6.658773061896902]","[-12.747374616659165, 6.004620828881329]"
34,,False,All good,61.70333567215127,"[62.74132341569398, 49.99394879903481, 55.99856962791614]","[60.49312421475891, 49.2989242323481, 57.19359449387964]","[-12.747374616659165, 6.004620828881329]","[-11.194199982410808, 7.894670261531537]"
35,,False,All good,61.910445732534484,"[60.49312421475891, 49.2989242323481, 57.19359449387964]","[59.08233334648432, 49.23911559282727, 55.652464229538886]","[-11.194199982410808, 7.894670261531537]","[-9.84321775365705, 6.413348636711618]"
36,,False,All good,58.504715428008694,"[59.08233334648432, 49.23911559282727, 55.652464229538886]","[58.12726119659375, 48.90476691780279, 54.85335256207362]","[-9.84321775365705, 6.413348636711618]","[-9.222494278790961, 5.948585644270828]"
37,,False,All good,62.97556043568717,"[58.12726119659375, 48.90476691780279, 54.85335256207362]","[58.79947325865451, 49.157757550865426, 53.58485441565124]","[-9.222494278790961, 5.948585644270828]","[-9.641715707789082, 4.427096864785817]"
38,,False,All good,59.45171827516744,"[58.79947325865451, 49.157757550865426, 53.58485441565124]","[59.45171273715925, 50.46357827046717, 53.770149790266906]","[-9.641715707789082, 4.427096864785817]","[-8.988134466692081, 3.306571519799739]"
39,,False,All good,60.204056339116555,"[59.45171273715925, 50.46357827046717, 53.770149790266906]","[59.55538862840074, 50.93125065300817, 53.083345817744245]","[-8.988134466692081, 3.306571519799739]","[-8.624137975392571, 2.1520951647360747]"
40,,False,All good,63.1908584604012,"[59.55538862840074, 50.93125065300817, 53.083345817744245]","[58.28982842908424, 52.78260289357503, 51.49938725505229]","[-8.624137975392571, 2.1520951647360747]","[-5.507225535509207, -1.2832156385227407]"
41,,False,All good,59.408775058680675,"[58.28982842908424, 52.78260289357503, 51.49938725505229]","[57.35714500191525, 51.77705688227114, 51.026478853808776]","[-5.507225535509207, -1.2832156385227407]","[-5.58008811964411, -0.750578028462364]"
42,,False,All good,62.04981039945342,"[57.35714500191525, 51.77705688227114, 51.026478853808776]","[58.031228727472794, 50.82490026191562, 49.59867504376477]","[-5.58008811964411, -0.750578028462364]","[-7.206328465557171, -1.2262252181508515]"
43,,False,All good,60.124165705394155,"[58.031228727472794, 50.82490026191562, 49.59867504376477]","[57.931387528760666, 52.96463036050721, 49.796608603145856]","[-7.206328465557171, -1.2262252181508515]","[-4.966757168253459, -3.168021757361352]"
44,,False,All good,61.891672751460554,"[57.931387528760666, 52.96463036050721, 49.796608603145856]","[56.82516047482267, 53.11223353153391, 48.94707990684671]","[-4.966757168253459, -3.168021757361352]","[-3.712926943288757, -4.1651536246872]"
45,,False,All good,60.541879776864754,"[56.82516047482267, 53.11223353153391, 48.94707990684671]","[55.341301883256186, 52.62652449993408, 50.26911134532761]","[-3.712926943288757, -4.1651536246872]","[-2.714777383322108, -2.357413154606469]"
46,,False,All good,61.902196213286686,"[55.341301883256186, 52.62652449993408, 50.26911134532761]","[55.91371121392012, 52.07015971532093, 50.52492850259046]","[-2.714777383322108, -2.357413154606469]","[-3.843551498599183, -1.5452312127304708]"
47,,False,All good,60.33894205762114,"[55.91371121392012, 52.07015971532093, 50.52492850259046]","[56.57486792064821, 51.70769202957829, 49.124956692639756]","[-3.843551498599183, -1.5452312127304708]","[-4.86717589106992, -2.5827353369385335]"
48,,False,All good,61.21641696555124,"[56.57486792064821, 51.70769202957829, 49.124956692639756]","[57.03571633272134, 51.167124007995696, 49.93673846603348]","[-4.86717589106992, -2.5827353369385335]","[-5.868592324725647, -1.2303855419622138]"
49,,False,All good,60.728741500389695,"[57.03571633272134, 51.167124007995696, 49.93673846603348]","[57.030197298816994, 51.24856791029413, 51.67359789991444]","[-5.868592324725647, -1.2303855419622138]","[-5.781629388522866, 0.42502998962031313]"
50,,False,All good,61.516896910518035,"[57.030197298816994, 51.24856791029413, 51.67359789991444]","[57.18169045027023, 50.90726566444492, 54.32443533767892]","[-5.781629388522866, 0.42502998962031313]","[-6.27442478582531, 3.4171696732339996]"
