bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-28742_ses-1_run-1_T1w	0.4853923004366335	2.242791207922077	0.618512695621015	27107.27040816327	3.6455266666666666	3.70377	3.70234	3.53047	0.26338079073897214	0.3913079633032983	0.3453112459577295	0.47106921672821045	0.16774772405624394	0.0	0.002420824213322434	7.8346251910091835	7.783850669049881	7.905922206644853	176	256	256	2.320905311717202	6.0814924188439425	6.364620272162615	10.6914630859267	43.477718795425496	59.42866384615812	63.68224919302015	88.14036493747685	1.0	1.0	1.0	18.539531220885817	0.0	2.662687148259366	0.0	3945201.0	0.0	18.0	7.187591057166496	-0.523204723502372	176.10311961080797	459.37562431316917	477.0	380926.8476185547	109.0	764.0	205.5229791094752	-0.5812918991536264	82.97692282143672	657.886375271192	652.0	565947.5335727524	489.0	843.0	107.21043110312053	-0.2590276081864027	69.92165181610284	947.5332280645523	967.0	499422.61924589827	768.0	1063.0	90.445902876889	0.22699920376012364	0.5305596769711115	0.5334968990627029	0.8106341149978143
sub-28743_ses-1_run-1_T1w	0.515846864067517	2.2053287181213688	0.5984750575237694	18800.36632756615	3.2746833333333334	3.2507	3.47621	3.09714	0.2632685898934228	0.3939512387319806	0.34278017137459665	0.414021760225296	0.030215471982955933	0.0	0.0017766779766558648	8.237731447879336	8.183561489832465	8.298907907514177	176	256	256	2.421184859560321	6.83189158270879	6.0866761305943955	9.006951949514075	34.87702683196656	48.142220797970936	51.54546344467992	71.61714270410226	1.0	1.0	1.0	12.521362453313397	0.0	3.617710671291573	0.0	4239365.0	0.0	23.0	8.790996912586083	-0.45962009790303915	150.20838283187442	457.54176400932454	468.0	362752.78793528996	133.0	751.0	193.29352448418018	-0.6656858544811035	79.14375348088247	648.6012165058149	646.0	542817.9268116982	496.0	807.0	94.5564485525115	-0.5620308000399952	83.34800870038539	935.727538500796	961.0	472310.28534550563	726.0	1074.0	106.69524918600413	0.23613670792087002	0.5330521837488973	0.5449208644549749	0.8008978286751973
sub-28744_ses-1_run-1_T1w	0.5377044479998845	1.8622083495275281	0.6150529950432004	16300.874177970833	3.247966794369228	3.2804201955282806	3.31642	3.1470601875794046	0.2616588666054646	0.3886321663846218	0.3497089670099136	0.473097026348114	0.044790473580360424	0.0	0.0018040844347215117	6.990495298947708	6.909612817935363	7.021015166088472	176	256	256	2.073836771833055	5.728549235158979	5.363361224864266	8.287697667600764	29.469211780498405	43.668013820193096	45.67727825977253	63.8946091786261	0.9999999403953552	1.0	0.9999999403953552	13.458911264350355	0.0	4.130676152596493	0.0	4105730.0	0.0	25.0	9.781734854230454	-0.8226938370686705	181.07654777833727	432.3260307345888	440.0	423841.0503060984	100.0	751.0	212.16688165301886	-0.6147722345480386	82.107932505801	659.7473498458112	652.0	629515.3216862265	484.0	867.0	113.81581188818708	-0.29694765448933547	80.27881079016412	927.3663014355931	954.0	566466.6281018241	695.0	1076.0	115.11027503659453	0.23329018781203728	0.5389914590711467	0.5509985016681285	0.7334953326478834
sub-28746_ses-1_run-1_T1w	0.580903653206376	1.724213578214568	0.6164006836281091	15944.294282836297	3.195886731868191	3.25422	3.281700195604574	3.05174	0.26088602214081963	0.38808088216953723	0.35103309568964325	0.5195482969284058	0.05392637252807614	0.0	0.0017601211745645496	7.296325406014845	7.205520534986901	7.33151354376802	176	256	256	2.4393601072554403	5.525235153531677	5.213990355063401	7.677375804403084	23.154653754580906	30.7937915711537	32.89732227426795	44.743521497069246	1.0	0.9999999403953552	1.0	50.0079395669525	0.0	4.6803498633574705	0.0	4240627.0	0.0	30.0	13.807443056096202	-0.5208181078592364	188.29828515623035	467.72315538609644	488.0	404152.10295099823	131.0	766.0	200.052216487047	-0.6654935062818841	84.78477183691274	656.3149649130771	649.0	601196.274744213	474.0	869.0	117.46096631340139	-0.2141087842732312	86.0009022057618	914.11147257484	943.0	543803.622226223	674.0	1075.0	122.82831490648731	0.24303945485136622	0.535489363758069	0.5427407220559531	0.6196835378490422
sub-28747_ses-1_run-1_T1w	0.5671050427508909	1.7310702404380802	0.6319117108969992	22438.23340319689	3.1368434549268156	3.1698901889401787	3.29053	2.950110175840269	0.2603921151301968	0.38679877162730514	0.3528091132424981	0.4457787871360779	0.03707158267498012	0.0	0.0016900788149034392	7.792946363230826	7.70065206935665	7.817403861693776	176	256	256	2.3870077124786055	5.725579504266321	5.487376122847217	8.349541151796727	32.77350631303648	45.526376970410496	47.69756462713189	64.79281059794869	0.9999999403953552	1.0	0.9999999403953552	97.77662068753119	0.0	3.6243779733439556	0.0	4112163.0	0.0	24.0	9.5551326186736	-0.5227358292589961	162.37187440638715	466.17611326643737	478.0	378709.6051585382	134.0	765.0	200.25045013902846	-0.5547121408931872	79.96473921373801	672.1771761314823	664.0	562553.1710341602	492.0	890.0	115.97069071148755	-0.571663680317454	79.39177779926233	918.0597422342995	945.0	513119.2236969003	692.0	1066.0	113.17976185524569	0.24201962086634404	0.5376922321485219	0.540893349596729	0.829210894948684
sub-28748_ses-1_run-1_T1w	0.5058499409411077	2.056243814525704	0.6311421811898368	20263.191454840453	3.524290141283083	3.46186	3.7190202216708794	3.3919902021783708	0.2692227597515183	0.3862972451236944	0.3444799951247873	0.38936400413513184	0.026136505603790272	0.0	0.0019542277997618364	7.179290603673907	7.111210667926542	7.22711669287866	176	256	256	2.0687159875672094	5.456046229657034	5.560739103510005	9.15745509330577	37.346143879367105	57.6429612051101	60.619827746219066	86.87037815417999	1.0	0.9999999403953552	0.9999999403953552	15.922279792896177	0.0	2.6608207932125114	0.0	4825113.0	0.0	19.0	7.262502668979606	-0.7381003258707048	152.67795189709227	412.5556940829965	414.0	424891.93629434484	99.0	718.0	200.1239006732261	-0.6262401468631786	85.72883545116753	644.7703628884931	639.0	609660.8794043536	460.0	850.0	117.11767991711395	-0.5489967263121716	78.16654541375135	936.1684757764963	963.0	543664.184552331	724.0	1067.0	105.16012413170792	0.22774342461971347	0.5378780849600002	0.545259036208984	0.7619915435934709
sub-28749_ses-1_run-1_T1w	0.5219158578096414	2.03641322276541	0.6406720897939522	21176.004628299655	3.1168866666666664	3.10997	3.30634	2.93435	0.2613016809455262	0.38988086555404866	0.3488174535004251	0.40464282035827637	0.03004197180271151	0.0	0.0014102040324629058	8.97689756479936	8.913319291743083	9.043930543884539	176	256	256	2.6323921135813353	6.01478345914833	6.0941537042879395	9.635285540134152	46.27914723990727	60.09924621921161	64.67563864437598	87.64852247400906	1.0	1.0	1.0	22.128533100738707	0.0	2.314766586699096	0.0	4793193.0	0.0	17.0	7.205500694974952	-0.24036018760341005	164.80103273924735	490.44835653596556	509.0	330180.5427599953	150.0	777.0	193.35995826112213	-0.6751122285058848	82.6246758450689	665.5052621127548	661.0	492653.0718614445	490.0	857.0	109.89578155749119	-0.43652286598305157	75.51582907125247	941.9898853110182	964.0	440765.3854509262	743.0	1072.0	100.04881561960023	0.24949681277902233	0.5353784687320894	0.5410613891772403	0.7579205043490986
sub-28750_ses-1_run-1_T1w	0.6082907041364493	1.6728117092455963	0.6515642874213264	13665.486296576244	3.139483333333333	3.22095	3.19607	3.00143	0.25356404047893344	0.39020206783279715	0.3562338916882694	0.5271892547607422	0.058220484852790855	0.0	0.001647804971847157	7.052441815550758	6.959703778411535	7.074519592796751	176	256	256	2.3086291843283298	5.867138213332691	5.2068889092027035	7.44489932994709	26.62032985224952	36.12362088509851	38.14283866790658	51.68456526637172	1.0	1.0	1.0	111.23313185174759	0.0	4.337868398090643	0.0	3896600.0	0.0	29.0	11.788371419202448	-0.12211900223964411	187.24916376835913	463.93521803917963	479.0	406579.2892097661	114.0	777.0	207.48217781800417	-0.6404692973389334	81.98680435057004	655.7278744381563	650.0	625672.6272699554	482.0	853.0	110.78646129074224	0.45703607732997087	88.33459280763574	903.5044417779683	930.0	571206.0834867423	664.0	1071.0	124.91763081224806	0.24212371329312493	0.5456292504972454	0.5501172884419959	0.565393473506339
sub-28752_ses-1_run-1_T1w	0.728055252125888	1.3139507657034846	0.6633342943530338	12176.81878629745	3.357050069959764	3.31506	3.5211902098792915	3.2349	0.2615162919788319	0.37680327328880836	0.3616804347323597	0.618151068687439	0.11175688207149503	0.0	0.004082232484069734	5.965085315257676	5.845435744375061	5.967675311473174	176	256	256	2.4976721883343083	4.95553894185298	5.240140225573939	8.26720954653453	15.293250140205132	21.063692976612426	21.547190919189358	28.284629640750516	1.0	0.9999999403953552	1.0	625.9334607738825	0.0	8.389133364803442	0.0	2984843.0	0.0	43.0	20.776561626012747	-0.22252810155561242	148.9723043100962	473.25815379679744	485.0	493359.37640624074	146.0	776.0	194.18060974410324	-0.6425257724875126	88.69995030984029	674.6839867149225	668.0	710852.1864199734	462.0	913.0	134.7985633811757	0.43521717152815365	78.02470242698806	885.1988618809446	897.0	682322.4373047417	689.0	1048.0	108.50085964760605	0.2468961342088994	0.5405007175127686	0.5536662571831116	0.6057760211778623
sub-28753_ses-1_run-1_T1w	0.5923834665606359	1.7344731473002928	0.6230552980612798	24067.53309387755	3.3806133333333332	3.32725	3.60608	3.20851	0.2629080782124639	0.38610103915935373	0.35099088262818234	0.4156510531902313	0.03356930613517761	0.0	0.0019313490549292137	7.350026873790131	7.259661498903876	7.3701860217736845	176	256	256	2.1368225600662143	5.628183163697535	5.4843465783198715	8.688034011195864	35.93976628379242	53.35058639460741	55.00115343875195	75.71310763785603	1.0	1.0	1.0	15.140877628385034	0.0	3.2331580419651877	0.0	3914435.0	0.0	21.0	8.202929804052443	-0.6705290167909728	166.34921985026347	443.9478596190098	450.0	405378.22872128384	108.0	767.0	210.59279950156747	-0.6395624988739605	86.49125593038366	675.1423594613145	668.0	595329.5784064109	491.0	893.0	118.6882906147526	-0.3933780993751581	79.3761147065944	923.7464197856945	948.0	541193.1929385165	710.0	1068.0	109.11549413083002	0.2225336268521418	0.5434726965693035	0.5514527954586111	0.7904823141602405
