bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-29273_ses-1_task-rest_acq-rc8chan_run-1_bold	0.005251953125	0.007535033125	0	27.875855077952743	1.0990211199212594	0.9791200961417326	0.3862520071609076	12626.94921875	0.2137227832566659	32	25.0	3.2004613476191595	3.312546721824997	3.314067321032483	2.97477	0.0213175	-0.012022875249385834	0.00615549273788929	128	96	96	47	3.069500461847165	2.5	2.6700000762939453	2.6700000762939453	3.0	96.85855298519742	7.088691857229909	26.705410121210964	8.0	366221.0	0.0	98.0	83.16741477178557	0.32813737835502677	270.3779967701271	880.4361058403431	869.0	66931.0	409.0	1350.0	283.10584051602905	47.43431249400601
sub-29274_ses-1_task-rest_acq-rc8chan_run-1_bold	0.004846532258064516	0.005952051774193549	0	28.088190931707313	1.101838304634146	0.952941183658536	0.37761592952226797	16091.5810546875	0.17980089260533955	21	16.93548387096774	3.3114584244514944	3.273310767889965	3.5443145054645178	3.11675	0.0333601	-0.018033865839242935	0.015038196928799152	124	96	96	47	2.8240882606095616	2.5	2.6700000762939453	2.6700000762939453	3.0	142.26295112095545	4.961935060841116	21.08880276165929	6.0	365867.0	0.0	85.0	68.64117332875395	0.3518798955270732	257.1955600400709	781.4480642045032	770.0	67285.0	304.0	1232.0	272.65234192200273	49.66429933253676
sub-29275_ses-1_task-rest_acq-rc8chan_run-1_bold	0.0016321093749999999	0.002916150234375	0	23.062298031338592	1.1322321526771653	0.9820582432283463	0.36304952058842854	29201.892578125	0.0928172709263734	9	7.03125	3.30660318106691	3.3411235000346466	3.470086043166084	3.1085999999999996	0.0240102	-0.015195552259683609	0.00661282055079937	128	96	96	47	2.7848728233457423	2.5	2.6700000762939453	2.6700000762939453	3.0	102.8378551078249	3.7375085625882125	19.744869559567256	5.0	369364.0	0.0	76.0	63.485668071395885	0.10325378805858021	284.62501319986643	823.648429171631	825.0	63788.0	261.0	1299.0	296.2410083236599	64.49349975585938
sub-29276_ses-1_task-rest_acq-rc8chan_run-1_bold	0.0034446875	0.005774363359375	0	32.206376263385835	1.1695480437007875	0.9992526536220474	0.37938706326767585	12298.15625	0.2729745376139902	62	48.4375	3.395093416637556	3.387820127913796	3.5948201219988727	3.20264	0.023478	-0.019618190824985504	0.01472556870430708	128	96	96	47	2.781477607055821	2.5	2.6700000762939453	2.6700000762939453	3.0	115.7003918385875	7.838576695981831	27.447729465439146	9.0	366918.0	0.0	113.0	75.6562777330287	0.29659759331247404	329.70280791684763	988.672086843615	972.0	66234.0	389.0	1569.0	349.4519099795995	48.78948402404785
sub-29277_ses-1_task-rest_acq-rc8chan_run-1_bold	0.008864453125000001	0.006210877421875	0	26.529966835354347	1.2293610085039368	1.0277714207086615	0.36658650051561636	17064.3828125	0.10745670938368543	12	9.375	3.062128267735385	2.9486403651822446	3.2830411046905774	2.9547033333333332	0.013142	-0.018401330336928368	0.01704600267112255	128	96	96	47	2.8675152130556425	2.5	2.6700000762939453	2.6700000762939453	3.0	182.39365796020127	4.932565828680843	19.588269902357137	6.0	370534.0	0.0	80.0	56.19179922398571	0.40512349868585096	253.01452043412405	772.4702801111501	773.0	62618.0	272.0	1199.0	269.56921592232464	51.70681571960449
sub-29278_ses-1_task-rest_acq-rc8chan_run-1_bold	0.005408125	0.009702039296875001	0	32.06842428488189	1.0263914257480318	0.934969466456693	0.37971717872661376	10215.095703125	0.3769051289878591	53	41.40625	3.1600297637316594	3.1741085235336093	3.2813107676613695	3.02467	0.0151891	-0.016485385596752167	0.016771838068962097	128	96	96	47	2.840453022727826	2.5	2.6700000762939453	2.6700000762939453	3.0	110.97231312088032	7.221707762904017	24.786519825452896	8.0	370559.0	0.0	107.0	64.49385379311337	0.15532804705844638	257.9012982421049	780.3050021567907	775.0	62593.0	280.0	1227.0	272.8416217364164	40.896751403808594
sub-29279_ses-1_task-rest_acq-rc8chan_run-1_bold	0.016856875	0.0136541696875	0	39.27825007086616	1.0862216128346456	1.0002051607874014	0.37442212676525044	27785.314453125	0.5858629326214972	88	68.75	3.2523313838571952	3.3607939114575927	3.39339690678066	3.002803333333333	0.01682	-0.020367667078971863	0.021120233461260796	128	96	96	47	2.8495896042919244	2.5	2.6700000762939453	2.6700000762939453	3.0	70.21540791125817	3.801969159761589	23.128388453347117	5.0	369527.0	0.0	102.0	63.475131681451444	-0.020256679130421507	283.87425579594606	818.2152612966602	808.0	63625.0	347.0	1284.0	283.5473743491981	28.406982421875
sub-29280_ses-1_task-rest_acq-rc8chan_run-1_bold	0.007843046874999999	0.008949991796875001	0	37.34464804582676	1.1433667613385823	0.9873452597637795	0.39156003508922826	26677.509765625	0.41668421192651317	68	53.125	3.485936023481422	3.449587916410984	3.7844568206999467	3.2237633333333338	0.0536223	-0.02725645713508129	0.02947484888136387	128	96	96	47	2.5589788911691005	2.5	2.6700000762939453	2.6700000762939453	3.0	147.5444634053431	3.55592875844703	25.42098931741201	5.0	360774.0	1.0	102.0	84.90300827758806	0.5875215036810819	288.7889047882103	793.4865152394374	773.0	72378.0	305.0	1304.0	302.07152650952696	42.24803123436868
sub-29281_ses-1_task-rest_acq-rc8chan_run-1_bold	0.004842421874999999	0.006233534531250001	0	29.723309855275584	1.2306295107086613	1.008614538425197	0.3741801278396377	26575.421875	0.20296576791646637	50	39.0625	3.325801458765275	3.3116291188549623	3.442381924107529	3.2233933333333336	0.0154843	-0.015173652209341526	0.014227937906980515	128	96	96	47	2.71745973229566	2.5	2.6700000762939453	2.6700000762939453	3.0	122.28818561031719	3.794583020212147	21.819573288909215	5.0	367368.0	1.0	88.0	71.75452415690016	0.05290158420315949	268.8748983722702	770.1261248935912	757.0	65784.0	287.0	1234.0	278.5668679108386	55.4992618560791
sub-29282_ses-1_task-rest_acq-rc8chan_run-1_bold	0.007923671875	0.00862002375	0	34.30047963354329	1.206869362677165	1.0147027341732282	0.4074700853945073	29150.525390625	0.36627750351414007	73	57.03125	3.5835506163355237	3.635209633953376	3.746142215053195	3.3693000000000004	0.00977609	-0.022273192182183266	0.02718980237841606	128	96	96	47	2.7293962910222174	2.5	2.6700000762939453	2.6700000762939453	3.0	99.05118167560909	3.799168184920605	31.038753147453114	5.0	357829.0	0.0	118.0	105.39505150403046	0.5871147780088743	284.0225703123115	808.844270674296	791.0	75323.0	347.0	1291.0	289.80575369877727	41.29315610451158
